"","Plant_species","Id","Pollinator_species","Interaction","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n"
"1397","Triosteum perfoliatum",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Dipsacales","Caprifoliaceae","Triosteum","Triosteum perfoliatum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","red","tube","zygomorphic","5.5","NA","NA","16","13","19","16","20","NA","NA","NA","NA","5","NA","NA","NA","NA","herb","perennial","0.6","1.2","0.9","NA; NA; NA; NA; millspaugh 1887","online: https://www.friendsofthewildflowergarden.org; online: https://www.minnesotawildflowers.info; book: american medicinal plants; online: http://www.missouriplants.com/ *style length*; book: american medicinal plants *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1398","Polygala sanguinea",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Fabales","Polygalaceae","Polygala","Polygala sanguinea","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green_pink","tube","zygomorphic","2","NA","NA","4.5","3","6","4.5","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","herb","annual","0.12","0.38","0.25","NA; NA","online: https://gobotany.nativeplanttrust.org/; online: http://www.efloras.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1399","Ulmus fulva",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Rosales","Ulmaceae","Ulmus","Ulmus rubra","NA","separated","monoecious","NA","none","qualitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","NA","NA","NA","green_red","brush","actinomorphic","0.5","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","tree","perennial","18","35","26.5","NA; NA; NA; NA","online: https://gobotany.newenglandwild.org; online: efloras.org; online: http://dendro.cnre.vt.edu; online: http://dev.semanticfna.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1400","Hebe subalpina",NA,NA,NA,"primack_1983_craigieburn.csv","Craigieburn, New Zealand",-43.099531,171.720224,"Lamiales","Plantaginaceae","Veronica","Veronica subalpina","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","4.5","4","5","2.5","NA","NA","2.5","6","5","7","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","2","1","cullen et al., 2011; NA","book: the european garden flora: a manual for the identification; online: http://www.nzpcn.org.nz/ *style length from a close relative*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1401","Valerianella radiata",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Dipsacales","Caprifoliaceae","Valerianella","Valerianella radiata","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","eggers 1983","journal: biology","10.2307/2418561","NA","flower","NA","NA","NA","white","bowl","actinomorphic","3","NA","NA","1.5","NA","NA","NA","3.5","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","1.2","4.8","3","NA; eggers ware 1983; NA","online: https://www.illinoiswildflowers.info; journal: systematic botany; online: http://w3.biosci.utexas.edu/ *ovule number and style length (pistil in this case)*","NA","10.2307/2418561","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1402","Asclepias syriaca",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Gentianales","Apocynaceae","Asclepias","Asclepias syriaca","NA","bisexual","hermaphrodite","NA","none","qualitative","NA","NA","NA","self_incompatible","howard & barrows 2014","journal: evolutionary biology","https://doi.org/10.1186/1471-2148-14-144","NA","flower","yes","NA","NA","pink","bowl","actinomorphic","4.5","3","6","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.9","1.8","1.35","howard & barrows 2014; NA","journal: bmc evolutionary biology; online: https://gobotany.newenglandwild.org","10.1186/1471-2148-14-144; NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1403","Verbena bracteosa",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Verbenaceae","Verbena","Verbena bracteata","NA","bisexual","hermaphrodite","NA","medium","quantitative","NA","0.33","NA","self_compatible","ethen, estes & thorp 1975","journal: bulletin of the torrey botanical club","10.2307/2484941","NA","flower","NA","NA","NA","purple","tube","zygomorphic","3","NA","NA","7","NA","NA","7","0.6","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","annual","0.1","0.5","0.3","NA; NA; NA; cruden 1976; perkins, estes & thorp 1975; minnis & felger 2001; NA","online: https://www.illinoiswildflowers.info; online: http://swbiodiversity.org; online: https://www.discoverlife.org; journal: evolution; journal: bulletin of the torrey botanical club; book: flora of the gran desierto and rio colorado of northwestern mexico; online: http://www.plantsoftheworldonline.org/ *ovule number*","NA","NA","NA","https://doi.org/10.1111/j.1558-5646.1977.tb00979.x","10.2307/972098","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1404","Polygonum pennsylvanicum",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Caryophyllales","Polygonaceae","Persicaria","Persicaria pensylvanica","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","NA","online: https://www.aphis.usda.gov/","NA","NA","flower","NA","NA","NA","pink","bowl","actinomorphic","4","NA","NA","3.25","3","4.5","NA","2","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","0.1","2","1.05","NA; kubetin & schaal 1979; NA","online: http://www.efloras.org; journal: systematic botany;  online: http://www.botany.hawaii.edu/ *ovule number*; online: https://gobotany.nativeplanttrust.org/ *style length*","NA","10.2307/2418852","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1405","Verbena stricta",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Verbenaceae","Verbena","Verbena stricta","NA","bisexual","hermaphrodite","NA","low","quantitative","NA","0.18","NA","self_compatible","barber 1982","journal: systematic botany"," https://doi.org/10.2307/2418676 ","NA","flower","NA","NA","no","purple","tube","zygomorphic","7","NA","NA","6","NA","NA","5","1.5","NA","NA","NA","NA","5","2","8","NA","NA","herb","annual","NA","1.5","0.75","NA; cruden 1990; perkins, estes & thorp 1975; groesbeck & reznicek 2012","online: http://www.missouriplants.com *style length*; journal: journal of the iowa academy of sciences; journal: bulletin f the torrey botanical society; book: a flora of the state of new york *ovule number*","NA","NA","https://doi.org/10.2307/2484941","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1406","Polygonum scandens",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Caryophyllales","Polygonaceae","Fallopia","Fallopia scandens","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","green","bowl","actinomorphic","6","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","perennial","1","5","3","NA; NA; NA; NA","online:http://www.efloras.org; online: https://www.illinoiswildflowers.info; online: https://www.delawarewildflowers.org (picture);  online: http://www.botany.hawaii.edu/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1407","Polytaenia nuttallii",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Apiales","Apiaceae","Polytaenia","Polytaenia nuttallii","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","no","NA","yellow","tube","actinomorphic","3","NA","NA","3","NA","NA","3","1.75","1.5","2","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.1","0.9","0.6","groesbeck & reznicek 2012; NA","book: field manual of michigan flora *style length*; online: http://w3.biosci.utexas.edu/ * ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1408","Raoulia grandiflora",NA,NA,NA,"primack_1983_craigieburn.csv","Craigieburn, New Zealand",-43.099531,171.720224,"Asterales","Asteraceae","Raoulia","Raoulia grandiflora","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","yes","NA","NA","white","capitulum","actinomorphic","15","NA","NA","12","NA","NA","NA","NA","NA","NA","NA","NA","11.5","NA","NA","NA","NA","herb","perennial","NA","0.15","0.75","NA","online: http://nzpcn.org.nz/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1409","Populus deltoides",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Salicaceae","Populus","Populus deltoides","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","NA","NA","no","green","exposed","actinomorphic","2.5","1","4","1.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","23","30","26.5","NA; NA; nagaraj 1952; NA","online: https://landscapeplants.oregonstate.edu; online: https://www.illinoiswildflowers.info; journal: botanical gazette","NA","NA","https://doi.org/10.1086/335763","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1410","Veronica peregrina",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Plantaginaceae","Veronica","Veronica peregrina","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","high","qualitative","NA","NA","NA","self_compatible","linhart 1974","journal: evolution"," https://doi.org/10.2307/2407324 ","NA","flower","NA","NA","NA","white","bowl","actinomorphic","3","NA","NA","1.8","NA","NA","NA","0.25","0.1","0.4","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.05","0.3","0.17499999999999999","NA; linhart 1974; NA","online: http://www.missouriplants.com; journal: evolution; online: https://ucjeps.berkeley.edu/ *style length*","NA","https://doi.org/10.1111/j.1558-5646.1974.tb00742.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1411","Potentilla canadensis",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Rosales","Rosaceae","Potentilla","Potentilla canadensis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","12.5","10","15","3","NA","NA","NA","1.1000000000000001","0.8","1.4","NA","NA","30","20","40","NA","NA","herb","perennial","0.2","3","1.6","yatskievych 2000; dpt agriculture 1971; NA","book: field guide to indiana wildflowers; book: common weeds of the unites states; online: http://www.efloras.org/ *style length and ovule per carpel*","ISBN: 0253214203","ISBN: 0486205045","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1412","Potentilla monspeliensis norvegica",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Rosales","Rosaceae","Potentilla","Potentilla norvegica","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","12","NA","NA","4.3","NA","NA","NA","0.75","0.6","0.9","NA","NA","105","60","150","NA","NA","herb","annual_short_lived_perennial","0.2","0.5","0.35","NA; NA; NA","online: http://www.luontoportti.com; online: http://www.missouriplants.com; online: http://dev.semanticfna.org/ *style length and ovule number based on number of carpels*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1413","Viburnum pubescens",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Dipsacales","Adoxaceae","Viburnum","Viburnum pubescens","pubescens","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_incompatible","flower","NA","NA","NA","white","campanulate","actinomorphic","3","NA","NA","1.5","NA","NA","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","shrub","perennial","0.1","4.5","2.5","NA; NA","online: http://ngpherbaria.org/; online: http://swbiodiversity.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1414","Viola cucullata",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Violaceae","Viola","Viola obliqua","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","22.5","15","40","17.5","13","22","5","6","5.5","6.5","NA","NA","41.5","8","75","NA","NA","herb","perennial","NA","0.2","0.1","NA; NA; NA; NA","online: http://swbiodiversity.org; online: https://www.illinoiswildflowers.info; online: http://botanikim.com/ *style length*; online: http://dev.semanticfna.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1415","Prunus americana",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Rosales","Rosaceae","Prunus","Prunus americana","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","22.5","20","25","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","3","8","5.5","NA; NA","online: http://www.usask.ca; online: https://www.minnesotawildflowers.info","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1416","Viola pedatifida",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Violaceae","Viola","Viola pedatifida","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","none","quantitative","0","NA","32","self_compatible","montgomery 2009","journal: botany","10.1139/B08-139","NA","flower","yes","rhizomes","NA","purple","tube","zygomorphic","18","NA","NA","15","NA","NA","8.6","NA","NA","NA","NA","NA","41.5","8","75","NA","NA","herb","perennial","75","0.15","0.11","montgomery 2009; NA; NA; NA","journal: botany; online: https://www.minnesotawildflowers.info; online: http://swbiodiversity.org; online: http://dev.semanticfna.org/ *ovule number*","10.1139/B08-139","NA","NA","NA","NA","fruit","NA","NA","70","25","50","28","NA","NA","NA","NA","NA","NA"
"1417","Viola pubescens",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Violaceae","Viola","Viola pubescens","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","medium","quantitative","59","NA","38","self_compatible","culley 2002","journal: international jounral of plant sciences","10.1086/324180","NA","flower","NA","NA","no","yellow","tube","zygomorphic","19","NA","NA","20","NA","NA","9","NA","NA","NA","NA","NA","28.05","24.3","31.8","NA","NA","herb","perennial","0.1","0.45","0.22500000000000001","NA; culley 2002; NA","online: http://www.efloras.org; journal: international journal of plant sciences; online: https://www.illinoiswildflowers.info","NA","10.1086/324180","NA","NA","NA","fruit","88.33","38","68.680000000000007","38","NA","NA","58.66","38","NA","NA","NA","NA"
"1418","Viola sagittata",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Violaceae","Viola","Viola sagittata","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rhizomes","NA","pink_purple","tube","zygomorphic","22","19","25","19.5","NA","NA","12","NA","NA","NA","NA","NA","41.5","8","75","NA","NA","herb","perennial","0.05","0.5","0.27500000000000002","NA; NA; NA","online: www.efloras.org; online: http://dev.semanticfna.org; online: http://dev.semanticfna.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1419","Viola striata",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Malpighiales","Violaceae","Viola","Viola striata","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","NA","NA","NA","NA","NA","self_compatible","cortes-palomec, mccauley & ballard 2006","journal: international journal of plant sciences","10.1086/502665","NA","flower","yes","rhizomes","NA","white","campanulate","zygomorphic","20","NA","NA","30","NA","NA","NA","NA","NA","NA","NA","NA","41.5","8","75","NA","NA","herb","perennial","0.15","0.3","0.22500000000000001","NA; cortes-palomec 2005; NA","online: https://www.illinoiswildflowers.info; thesis: ecological factors, mixed breeding system and population genetic structure in subtropical and temperate violet; online: http://dev.semanticfna.org/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1420","Pycnanthemum pilosum",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum verticillatum","pilosum","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","chambers 1961","journal: brittonia","https://doi.org/10.2307/2805290","NA","flower","yes","rhizomes","yes","white","tube","zygomorphic","4.2","NA","NA","6.5","5","8","3.1","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.3","0.9","0.6","Chambers, 1961; Plants for a Future; NA","Brittonia; Plants for a Future; Online: http://swbiodiversity.org/ *ovule number*","https://doi.org/10.2307/2805290","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1421","Pycnanthemum virginianum",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Lamiaceae","Pycnanthemum","Pycnanthemum virginianum","NA","bisexual","hermaphrodite","NA","low","NA","NA","NA","NA","NA","chambers 1962","journal: brittonia","https://doi.org/10.2307/2805291","NA","NA","yes","apomixis","yes","white","tube","zygomorphic","4","NA","NA","6","NA","NA","2","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.4","1.2","0.8","NA; NA; NA","online: https://gobotany.newenglandwild.org; online: http://wisflora.herbarium.wisc.edu; online: * ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1422","Zanthoxylum americanum",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Sapindales","Rutaceae","Zanthoxylum","Zanthoxylum americanum","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","yes","apomixis and underground runners","yes","green","exposed","actinomorphic","6","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","shrub","perennial","1.2","7.6","4.4000000000000004","NA; NA","online: https://www.friendsofthewildflowergarden.org; online: https://www.illinoiswildflowers.info; online: https://biosurvey.ou.edu/ *ovule number*","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1423","Bidens laevis",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Asterales","Asteraceae","Bidens","Bidens laevis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","capitulum","NA","NA","NA","white","capitulum","actinomorphic","40","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","1","0.5","richardson 1995; NA; grombone-guaratini, solferini & semir 2004","book: plants of the rio grande delta; online: http://ucjeps.berkeley.edu; online: https://gobotany.newenglandwild.org (picture); journal: plant physiology and biochemestry","ISBN: 0292785941","NA","http://dx.doi.org/10.1590/S0103-90162004000200010","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1424","Zizia aurea",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Apiales","Apiaceae","Zizia","Zizia aurea","NA","bisexual","hermaphrodite","NA","low","quantitative","20","NA","NA","self_compatible","molano-flores 2004; NA; NA; montgomery 2007; NA","journal: transactions of the illinois state academy of science; online: https://www.minnesotawildflowers.info; online: https://gobotany.newenglandwild.org; thesis: patterns and consequences of competition for pollination between introduced and native species; online: https://ucmp.berkeley.edu/ *ovule number*","NA","NA","flower","NA","NA","NA","yellow","tube","actinomorphic","3","NA","NA","6","NA","NA","6","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","herb","perennial","0.3","0.8","0.55000000000000004","molano-flores 2004; NA; NA; montgomery 2007; NA","journal: transactions of the illinois state academy of science; online: https://www.minnesotawildflowers.info; online: https://gobotany.newenglandwild.org; thesis: patterns and consequences of competition for pollination between introduced and native species; online: https://ucmp.berkeley.edu/ *ovule number*","NA","NA","NA","NA","NA","fruit","NA","NA","60","NA","45","NA","20","NA","NA","NA","NA","NA"
"1425","Blephilia hirsuta",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Lamiales","Lamiaceae","Blephilia","Blephilia hirsuta","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rhizomes","NA","white","tube","zygomorphic","8","NA","NA","11","NA","NA","8","10","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","NA","1.2","0.6","NA; NA","online: https://www.illinoiswildflowers.info; online: http://www.missouriplants.com","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1426","Boltonia asteroides",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Asterales","Asteraceae","Boltonia","Boltonia asteroides","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","yes","stolons","NA","white_yellow","capitulum","actinomorphic","67.5","15","120","10","2","18","NA","3","NA","NA","NA","NA","90","NA","NA","NA","NA","herb","perennial","0.3","2","1.1499999999999899","NA; NA; gandhi, thomas & hatch 1989; NA","online: https://www.discoverlife.org; online: http://www.missouribotanicalgarden.org; book: asteraceae of louisiana; ONLINE: https://gobotany.nativeplanttrust.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1427","Ranunculus recurvatus",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus recurvatus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_incompatible","flower","yes","rhizomes","NA","yellow","dish","actinomorphic","7.6","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.2","0.6","0.4","lundqvist, 2008; NA","journal: hereditas; book: aquatic and wetland plants of southeastern united states *style length*","https://doi.org/10.1111/j.1601-5223.1990.tb00695.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1428","Brauneria purpurea",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Asterales","Asteraceae","Echinacea","Echinacea purpurea","NA","bisexual","hermaphrodite","protandrous","low","qualitative","NA","NA","NA","partially_self_compatible","wist & davis 2013","journal: journal of economic entomology","https://doi.org/10.1603/EC13049","NA","capitulum","yes","rhizomes","NA","purple","capitulum","actinomorphic","7.5","5","10","22.5","15","30","NA","4.5","NA","NA","NA","NA","65.5","NA","NA","NA","NA","herb","perennial","0.6","1.2","0.9","mistrikova and vaverkova; li, 1998; mcgregor 1968; wist and davis, 2013; Stephens 2008","journal: biologia; journal: horttechnology; journal: journal of economic entomology; journal: HortScience","https://doi.org/10.2478/s11756-007-0006-7","https://doi.org/10.21273/horttech.8.2.122","https://doi.org/10.1603/ec13049","https://doi.org/10.21273/hortsci.43.5.1350","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1429","Cacalia atriplicifolia",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Asterales","Asteraceae","Arnoglossum","Arnoglossum atriplicifolium","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","yes","rhizomes","NA","white","capitulum","actinomorphic","9","8","10","24","NA","NA","NA","8","NA","NA","NA","NA","4.5","4","5","NA","NA","herb","perennial","1","2","1.5","NA; NA","online: https://www.friendsofthewildflowergarden.org; book: asteraceae of louisiana","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1430","Cacalia reniformis",NA,NA,NA,"robertson_1929.csv","Carlinville, Illinois, USA",39.278958,-89.8968771,"Asterales","Asteraceae","Adenostyles","Adenostyles alpina","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","yes","rhizomes","NA","white","capitulum","actinomorphic","13","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.4","1.5","0.95","NA; cullen et al., 2011; NA","online: https://dnr.wi.gov; online: http://www.missouriplants.com","NA","ISBN: 0521761476","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
