"","plant_species","interaction","unique_id","order_all","family","genus","species","sex_or_flower_type","breeding_system","autonomous_selfing_level","autonomous_selfing_level_data_type","autonomous_selfing_level_fruit_set","autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","compatibility","self_compatible_author","self_compatible_reference","self_compatible_doi","compatibility_genus","info_level","asexual_reproduction","asexual_reproduction_type","agamospermy/apomixis (yes/no/some_populations)","flower_colour","flower_morphology","flower_symmetry","floral_unit_width","corolla_diameter_mean","corolla_diameter_min","corolla_diameter_max","corolla_length_mean","corolla_length_min","corolla_length_max","tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_n","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","references","reference_info","doi","doi__1","doi__2","doi__3","net_id","net_id.1","visits","z_score_sum","phylo"
"121","Canthium bibracteatum",81,"kaiser_bunbury_2017","Gentianales","Rubiaceae","Canthium","Canthium bibracteatum","separated & bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","no","NA","no","cream","campanulate","actinomorphic","5.0999999999999996",5.1,"5","8","3","2","4","1.1000000000000001","3","2","4","NA","NA",2,"2","2","NA","2","shrub","perennial","2","10",6,"verdcourt&bridson,1991;bridson,1987","book:flora of tropical east africa.rubiaceae vol.3; journal;kew bulletin,42(3):611-639","10.2307/4110068",NA,NA,NA,NA,"13_2_kaiser-bunbury_2011_seychelles_casse_dent.csv",115,0.377426822512601,"Canthium bibracteatum"
"125","Carpobrotus affinis",0,"bartomeus_2008","Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus acinaciformis","bisexual","hermaphrodite","low","quantitative","20","0.2","498","partially_self_compatible","bartomeus & vila 2009","journal: australian journal of botany","https://doi.org/10.1071/bt08169",NA,"flower","yes","vegetative reproduction","NA","pink_purple","dish","actinomorphic","125",125,"100","150","30","NA","NA","NA","NA","7","15","11","NA",1200,"800","1800","NA","14","herb","perennial","NA","NA",0.1,"NA; bartomeus & vila 2009","oline: https://keyserver.lucidcentral.org/; journal: australian journal of botany","NA; https://doi.org/10.1071/bt08169",NA,NA,NA,NA,"1_3_bartomeus_spain_2008_medca_1_2.csv",36,1.0305775293125,"Carpobrotus acinaciformis"
"126","Carpobrotus affinis",0,"bartomeus_2008","Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus acinaciformis","bisexual","hermaphrodite","low","quantitative","20","0.2","498","partially_self_compatible","bartomeus & vila 2009","journal: australian journal of botany","https://doi.org/10.1071/bt08169",NA,"flower","yes","vegetative reproduction","NA","pink_purple","dish","actinomorphic","125",125,"100","150","30","NA","NA","NA","NA","7","15","11","NA",1200,"800","1800","NA","14","herb","perennial","NA","NA",0.1,"NA; bartomeus & vila 2009","oline: https://keyserver.lucidcentral.org/; journal: australian journal of botany","NA; https://doi.org/10.1071/bt08169",NA,NA,NA,NA,"1_4_bartomeus_spain_2008_medca_2_3.csv",32,1.11579247484654,"Carpobrotus acinaciformis"
"127","Carpobrotus affinis",0,"bartomeus_2008","Caryophyllales","Aizoaceae","Carpobrotus","Carpobrotus acinaciformis","bisexual","hermaphrodite","low","quantitative","20","0.2","498","partially_self_compatible","bartomeus & vila 2009","journal: australian journal of botany","https://doi.org/10.1071/bt08169",NA,"flower","yes","vegetative reproduction","NA","pink_purple","dish","actinomorphic","125",125,"100","150","30","NA","NA","NA","NA","7","15","11","NA",1200,"800","1800","NA","14","herb","perennial","NA","NA",0.1,"NA; bartomeus & vila 2009","oline: https://keyserver.lucidcentral.org/; journal: australian journal of botany","NA; https://doi.org/10.1071/bt08169",NA,NA,NA,NA,"1_1_bartomeus_spain_2008_batca_1_2.csv",64,1.66909954346579,"Carpobrotus acinaciformis"
"133","Castela coccinea",0,"souza_2018","Sapindales","Simaroubaceae","Castela","Castela coccinea","bisexual","hermaphrodite","none","quantitative","0","0","334","self_incompatible","zapata & arroyo 1978","journal: biotropica *found as ximenia americana*","10.2307/2387907","NA","flower","NA","NA","NA","pink","dish","actinomorphic","0.5",0.5,"NA","NA","0.5","NA","NA","NA","1.5","1","2","NA","NA",1,"NA","NA","NA","NA","shrub","perennial","2","7",4.5,"zapata & arroyo 1978; NA; NA; matthew 1991","journal: biotropica; online: http://hasbrouck.asu.edu (picture); online: https://plants.jstor.org/ *style length*; book: an excursion flora of central tamilnadu, india","10.2307/2387907","NA","NA","NA","NA","10_1_souza_2017_brazil_chaco.csv",44,-0.151152729463211,"Castela coccinea"
"138","Cerastium alpinum",0,"elberling_1999","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium alpinum","bisexual","hermaphrodite","medium","quantitative","25","0.25","NA","partially_self_compatible","totland & schulte-herbruggen; grundt, borgen & elven 1999","journal: artic, antartic and alpine research; journal: nordic journal of botany","https://doi.org/10.1657/1523-0430(2003)035[0242:bsifva]2.0.co;2; https://doi.org/10.1111/j.1756-1051.1999.tb01228.x","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","19.100000000000001",19.1,"NA","NA","11.1","NA","NA","NA","2.5","2","3","NA","NA",35,"20","50","NA","NA","herb","perennial","0.05","0.35",0.4,"NA; pont 1993","online: https://nature.ca; journal: journal of natural history","NA","NA","NA","NA","NA","4_1_elberling_sweeden_1999.csv",22,0.364318156106456,"Cerastium alpinum"
"139","Cerastium alpinum",0,"elberling_1999","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium alpinum","bisexual","hermaphrodite","medium","quantitative","25","0.25","NA","partially_self_compatible","totland & schulte-herbruggen; grundt, borgen & elven 1999","journal: artic, antartic and alpine research; journal: nordic journal of botany","https://doi.org/10.1657/1523-0430(2003)035[0242:bsifva]2.0.co;2; https://doi.org/10.1111/j.1756-1051.1999.tb01228.x","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","19.100000000000001",19.1,"NA","NA","11.1","NA","NA","NA","2.5","2","3","NA","NA",35,"20","50","NA","NA","herb","perennial","0.05","0.35",0.4,"NA; pont 1993","online: https://nature.ca; journal: journal of natural history","NA","NA","NA","NA","NA","7_1_lundgren_2005_greenland.csv",3,-0.423325146535523,"Cerastium alpinum"
"147","Chamomilla suaveolens",21,"olesen_2002","Asterales","Asteraceae","Chamomilla","Chamomilla suaveolens","bisexual","hermaphrodite","low","quantitative","21","NA","NA","partially_self_compatible","B.Faehnrich, 2013","journal: Journal of Applied Botany and Food Quality","10.5073/JABFQ.2013.086.022","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","8.5",8.5,"5","12","8.5","NA","NA","NA","NA","NA","NA","NA","NA",1,"1","1","NA","NA","herb","annual","0.1","0.8",0.5,"sell 2006","book:flora of great britain and england vol.4 Cambridge University Press","NA",NA,NA,NA,NA,"8_1_olesen_2002_azores.csv",64,-0.426274196045788,"Chamomilla suaveolens"
"148","Chassalia coriacea",0,"kaiser_bunbury_2010","Gentianales","Rubiaceae","Chassalia","Chassalia coriacea","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","pink","tube","actinomorphic","10",10,"NA","NA","13","12","14","13","NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","shrub","perennial","1","4",2.5,"verdcourt 1983; kaiser 2006","journal: kew bulletin vol 37 no 4; thesis: functional integrity of plant-pollinator communities in restored habitats in mauritius, zurich university","https://doi.org/10.2307/4109725","NA","NA","NA","36","14_2_kaiser-bunbury_2010_mauritius_restored.csv",29,-0.344126140469821,"Chassalia coriacea"
"149","Chassalia coriacea",0,"kaiser_bunbury_2010","Gentianales","Rubiaceae","Chassalia","Chassalia coriacea","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","pink","tube","actinomorphic","10",10,"NA","NA","13","12","14","13","NA","NA","NA","NA","NA",2,"NA","NA","NA","NA","shrub","perennial","1","4",2.5,"verdcourt 1983; kaiser 2006","journal: kew bulletin vol 37 no 4; thesis: functional integrity of plant-pollinator communities in restored habitats in mauritius, zurich university","https://doi.org/10.2307/4109725","NA","NA","NA","36","14_1_kaiser-bunbury_2010_mauritius_control.csv",28,-0.395214021011321,"Chassalia coriacea"
"150","Chassalia petrinensis",0,"kaiser_bunbury_2010","Gentianales","Rubiaceae","Chassalia","Chassalia petrinensis","bisexual","hermaphrodite","NA","NA","NA","NA","NA","unknown","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","10",10,"NA","NA","19.100000000000001","NA","NA","20","10","NA","NA","NA","NA",2,"NA","NA","NA","NA","shrub","perennial","1","1.8",1.4,"verdcourt 1983; NA","journal: kew bulletin; online: http://powo.science.kew.org/","NA","NA","NA","NA","NA","14_2_kaiser-bunbury_2010_mauritius_restored.csv",6,-0.633496885777349,"Chassalia petrinensis"
"151","Chrysobalanus icaco",0,"kaiser_bunbury_2017","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","bisexual","hermaphrodite","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10",10,"NA","NA","9","7","11","NA","NA","NA","NA","NA","NA",1,"1","2","NA","NA","shrub","perennial","1.5","3",2.2,"NA","NA","NA",NA,NA,NA,NA,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation.csv",208,1.5194915805247,"Chrysobalanus icaco"
"152","Chrysobalanus icaco",0,"kaiser_bunbury_2017","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","bisexual","hermaphrodite","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10",10,"NA","NA","9","7","11","NA","NA","NA","NA","NA","NA",1,"1","2","NA","NA","shrub","perennial","1.5","3",2.2,"NA","NA","NA",NA,NA,NA,NA,"13_3_kaiser-bunbury_2011_seychelles_copolia.csv",23,-0.634527187079092,"Chrysobalanus icaco"
"153","Chrysobalanus icaco",0,"kaiser_bunbury_2017","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","bisexual","hermaphrodite","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10",10,"NA","NA","9","7","11","NA","NA","NA","NA","NA","NA",1,"1","2","NA","NA","shrub","perennial","1.5","3",2.2,"NA","NA","NA",NA,NA,NA,NA,"13_4_kaiser-bunbury_2011_seychelles_la_reserve.csv",37,-0.661075347552421,"Chrysobalanus icaco"
"154","Chrysobalanus icaco",0,"kaiser_bunbury_2017","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","bisexual","hermaphrodite","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10",10,"NA","NA","9","7","11","NA","NA","NA","NA","NA","NA",1,"1","2","NA","NA","shrub","perennial","1.5","3",2.2,"NA","NA","NA",NA,NA,NA,NA,"11_4_kaiser-bunbury_2017_seychelles_reserve.csv",124,-0.0513156007883365,"Chrysobalanus icaco"
"155","Chrysobalanus icaco",0,"kaiser_bunbury_2017","Malpighiales","Chrysobalanaceae","Chrysobalanus","Chrysobalanus icaco","bisexual","hermaphrodite","low","quantitative","3.3","NA","1452","self_compatible","sa & locatelli, 2012","journal: brazilian journal of ecology","ISSN 1516-5868","NA","flower","NA","NA","NA","white","campanulate","actinomorphic","10",10,"NA","NA","9","7","11","NA","NA","NA","NA","NA","NA",1,"1","2","NA","NA","shrub","perennial","1.5","3",2.2,"NA","NA","NA",NA,NA,NA,NA,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",104,0.417048996179815,"Chrysobalanus icaco"
"157","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_3_kaiser-bunbury_2011_seychelles_copolia.csv",4,-0.929886167256219,"Cinnamomum verum"
"158","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"11_4_kaiser-bunbury_2017_seychelles_reserve.csv",39,-0.460989872275332,"Cinnamomum verum"
"159","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"11_3_kaiser-bunbury_2017_seychelles_copolia.csv",37,-0.338145029783161,"Cinnamomum verum"
"160","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"11_5_kaiser-bunbury_2017_seychelles_rosebelle.csv",43,0.116123750991837,"Cinnamomum verum"
"161","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_1_kaiser-bunbury_2011_seychelles_bernica.csv",14,-0.577831587335126,"Cinnamomum verum"
"162","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_2_kaiser-bunbury_2011_seychelles_casse_dent.csv",23,-0.458685855121547,"Cinnamomum verum"
"163","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"11_2_kaiser-bunbury_2017_seychelles_casse_dent.csv",74,-0.15091259235908,"Cinnamomum verum"
"164","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_5_kaiser-bunbury_2011_seychelles_tea_plantation.csv",49,-0.243328720844393,"Cinnamomum verum"
"165","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_6_kaiser-bunbury_2011_seychelles_trois_ferres.csv",8,-0.690467010272805,"Cinnamomum verum"
"166","Cinnamomum verum",0,"kaiser_bunbury_2017","Laurales","Lauraceae","Cinnamomum","Cinnamomum verum","bisexual","hermaphrodite","NA","qualitative","NA","NA","NA","self_incompatible","Renner, 2001","journal:trends in ecology &evolution 16 (11):595-597","https://doi.org/10.1016/S0169-5347(01)02280-7","NA","flower","yes","NA","NA","yellow","dish","actinomorphic","6.5",6.5,"6","7","9","8","10","4","3.5","2","5","NA","1",1,"1","1","NA","NA","tree","perennial","6","18",12,"wuu-kuang 2011","journal:blumea 56.241-264","http://dx.doi.org/10.3767/000651911X615168",NA,NA,NA,NA,"13_4_kaiser-bunbury_2011_seychelles_la_reserve.csv",64,-0.406089142067916,"Cinnamomum verum"
