"","Species_all","Order_all","Family_all","Genus_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Eigenval"
"1211","Salix arctica","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",70,70,11.5,0.5,1.1,1.4,27,"shrub","Perennial",0.14,0.00049028801133692
"1212","Salix aurita","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","zygomorphic",10653.798407409,70,12.5,0.5,2.5,0.15,22,"shrub","Perennial",1.5,0.000481222780922721
"1213","Salix cinerea","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",35000,120,8.5,0.5,2.5,1.15,24,"shrub","Perennial",5.5,0.000487183890587812
"1214","Salix cordata","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Open","actinomorphic",3000,100,10,0.5,3.5,1.15,17.5,"shrub","Perennial",1.7,0.000485610513975402
"1215","Salix fragilis","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Spike","actinomorphic",45000,90,10,1,1,0.3,23,"tree","Perennial",12,0.000485418141969825
"1216","Salix humilis","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Open","actinomorphic",45000,75,1.1,1.1,3.225,0.3,9,"shrub","Perennial",1.65,0.0004818702981529
"1217","Salix lanata","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",10000,200,20,1,1,1.88,59,"shrub","Perennial",0.75,0.000492890986798254
"1218","Salix longifolia","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Open","actinomorphic",12412.990335292,60,8,0.9,2,0.25,21,"tree","Perennial",7.5,0.000480934155522447
"1219","Salix nigra","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","zygomorphic",18220.6453432381,90,10,1,1,0.2,14,"tree","Perennial",18,0.000482137321489848
"1220","Salix polaris","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",200,8,9,0.5,2,0.95,14.5,"shrub","Perennial",0.05,0.000496276761767484
"1221","Salix repens","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",4500,60,8.5,0.5,1,1.15,23,"herb","Perennial",0.3,0.000488427241861714
"1222","Salix reticulata","Malpighiales","Salicaceae","Salix","Dioecious","dioecious","none",0,"Brush","actinomorphic",750,50,4.5,0.75,1.35,0.25,26,"shrub","Perennial",0.09,0.000488427241861732
"1224","Salsola komarovii","Caryophyllales","Amaranthaceae","Salsola","Monoecious","self_compatible","high",88,"Open","actinomorphic",100,1,8,8,1,1,1,"herb","Short lived",0.35,0.000979820771008073
"1226","Salvia flava","Lamiales","Lamiaceae","Salvia","Hermaphrodite","self_compatible","high",49.5554221049144,"Tube","zygomorphic",12,12,25,13.25,26.5,26.5,4,"herb","Perennial",0.35,0.00292297426375459
"1227","Salvia przewalskii","Lamiales","Lamiaceae","Salvia","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",18,18,15,15,30,30,4,"herb","Perennial",0.3,0.00291871165649552
"1228","Sambucus canadensis","Dipsacales","Adoxaceae","Sambucus","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,200,100,5,2,1,4,"shrub","Perennial",3.5,0.00330500878623384
"1229","Samolus floribundus","Ericales","Primulaceae","Samolus","Hermaphrodite","partially_self_compatible","none",22.9999120355699,"Open","actinomorphic",50,5,30,3,0.75,0.2,40,"herb","Perennial",0.3,0.00124729441228342
"1230","Sanguinaria canadensis","Ranunculales","Papaveraceae","Sanguinaria","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",1,1,35,35,12,3,37,"herb","Short lived",0.5,8.59317362572747e-05
"1231","Sanicula canadensis","Apiales","Apiaceae","Sanicula","Monoecious","monoecious","none",0,"Open","actinomorphic",20,5,15,1.5,1.15,4,2,"herb","Short lived",0.45,0.00373582527888498
"1232","Sanicula marilandica","Apiales","Apiaceae","Sanicula","Monoecious","monoecious","none",0,"Open","actinomorphic",200,25,40,5,2,4,2,"herb","Perennial",1,0.00373787203054587
"1233","Sanicula odorata","Apiales","Apiaceae","Sanicula","Monoecious","monoecious","medium",50.5,"Tube","actinomorphic",150,250,20,2.4,0.7,1.3,2,"herb","Perennial",0.55,0.00376270418045767
"1234","Saponaria officinalis","Caryophyllales","Caryophyllaceae","Saponaria","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",10,10,60,33.7,24,13.5,85,"herb","Perennial",0.65,0.00100642050620296
"1235","Sarcostemma angustissimum","Gentianales","Apocynaceae","Sarcostemma","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",8,8,3,0.5,0.5,0.1,60.7,"herb","Perennial",1.5,0.00165699906586538
"1236","Sassafras albidum","Laurales","Lauraceae","Sassafras","Dioecious","dioecious","none",0,"Open","actinomorphic",14580.7494041455,50,55,8,2,2.5,1,"tree","Perennial",13.5,9.68393221589575e-06
"1237","Saussurea wardii","Asterales","Asteraceae","Saussurea","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",15,15,50,30,12.5,15,20,"herb","Perennial",0.29,0.00551733684592564
"1238","Sauvagesia angustifolia","Malpighiales","Ochnaceae","Sauvagesia","Hermaphrodite","self_compatible","medium",29,"Tube","actinomorphic",10,10,13,13,2,2,30,"herb","Perennial",0.225,0.000402994968766491
"1239","Sauvagesia rubiginosa","Malpighiales","Ochnaceae","Sauvagesia","Hermaphrodite","self_compatible","low",7.07,"Open","actinomorphic",15,15,13,13,2,2,30,"herb","Perennial",0.325,0.000410412182576089
"1240","Saxifraga aizoides","Saxifragales","Saxifragaceae","Saxifraga","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",35,5,33,11.5,2.77898096249012,2.75,150,"shrub","Perennial",0.1,0.000148134986137383
"1241","Saxifraga cernua","Saxifragales","Saxifragaceae","Saxifraga","Hermaphrodite","self_compatible","low",5.5,"Campanulate","actinomorphic",25,1,24,12,6,1.45,267,"herb","Perennial",0.225,0.000147814054879801
"1242","Saxifraga hirculus","Saxifragales","Saxifragaceae","Saxifraga","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",5,1,24.1,24.1,14.1,1.4,500,"herb","Perennial",0.15,0.000145243141552168
"1243","Saxifraga oppositifolia","Saxifragales","Saxifragaceae","Saxifraga","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",45,1,100,24.1,10,6.5,112.6,"herb","Perennial",0.175,0.000151780150232769
"1244","Scabiosa atropurpurea","Dipsacales","Caprifoliaceae","Scabiosa","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",150,15,30,10,15,15,1,"herb","Short lived",0.4,0.00347951960783182
"1245","Scabiosa stellata","Dipsacales","Caprifoliaceae","Scabiosa","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",200,40,30,2.4,9.1,14,2,"herb","Short lived",0.25,0.00348240962423826
"1246","Scaevola plumieri","Asterales","Goodeniaceae","Scaevola","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,20,12,12,22.5,15,2,"shrub","Perennial",0.9,0.0046663153043709
"1247","Scaevola taccada","Asterales","Goodeniaceae","Scaevola","Hermaphrodite","partially_self_compatible","low",12,"Tube","zygomorphic",100,20,21,21,15,14,4,"shrub","Perennial",1.5,0.00466318688272975
"1248","Scalesia affinis","Asterales","Asteraceae","Scalesia","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",20,1,60,60,10,5,25,"shrub","Perennial",1.75,0.0659981421341102
"1249","Scalesia baurii","Asterales","Asteraceae","Scalesia","Hermaphrodite","self_compatible","medium",45.2,"Capitulum","actinomorphic",1,1,15,15,4,5,50,"shrub","Perennial",1.75,0.0637259809138954
"1250","Scalesia helleri","Asterales","Asteraceae","Scalesia","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",600,1,17,17,3.36336121021323,5,65,"shrub","Perennial",1.75,0.0607432355485631
"1251","Scalesia pedunculata","Asterales","Asteraceae","Scalesia","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",600,3,15,15,3.53230577844416,5,100,"tree","Perennial",10,0.0661886166235715
"1253","Schefflera heptaphylla","Apiales","Araliaceae","Schefflera","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",8000,350,50,8.5,1.5,1.5,6.1,"tree","Perennial",8.5,0.00368086055847239
"1254","Schima wallichii","Ericales","Theaceae","Schima","Hermaphrodite","partially_self_compatible","medium",15,"Brush","actinomorphic",1400,5,90,32.5,10,5.5,20,"tree","Perennial",17.5,0.00120846952386539
"1255","Schinus fasciculata","Sapindales","Anacardiaceae","Schinus","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,15,10,2,1,2,1,"tree","Perennial",2,0.000236246852177349
"1256","Schultesia brachyptera","Gentianales","Gentianaceae","Schultesia","Hermaphrodite","self_compatible","none",23.6430099579675,"Campanulate","actinomorphic",3,3,42.5,42.5,42.5,12.5,713.504331741377,"herb","Perennial",0.575,0.00154551837558735
"1257","Scleria terrestris","Poales","Cyperaceae","Scleria","Monoecious","monoecious","none",0,"Brush","actinomorphic",100,100,2,2,2,0.5,1,"herb","Perennial",2.3,5.47718309250477e-05
"1259","Scoparia montevidensis","Lamiales","Plantaginaceae","Scoparia","Hermaphrodite","self_compatible","high",48.6586644419886,"Open","actinomorphic",60,5,4,4,2.25,15,100,"herb","Short lived",0.175,0.0021404830468593
"1260","Scorzonera humilis","Asterales","Asteraceae","Scorzonera","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",5,1,27.5,27.5,5.1,3,35,"herb","Perennial",0.3,0.00577801821326308
"1261","Scrophularia marilandica","Lamiales","Scrophulariaceae","Scrophularia","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",100,100,50,3.5,8.5,4.5,298.063515124118,"herb","Perennial",1.7,0.00234302652474957
"1262","Scutellaria hypericifolia","Lamiales","Lamiaceae","Scutellaria","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,30,15,26.5,26.5,4,"herb","Perennial",0.2,0.00274602740461971
"1263","Scutellaria incana","Lamiales","Lamiaceae","Scutellaria","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",60,60,100,14,25,25,4,"herb","Perennial",0.75,0.00273241127671026
"1264","Scutellaria lateriflora","Lamiales","Lamiaceae","Scutellaria","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,10,2.4,6,6,4,"herb","Perennial",0.5,0.00272929095299164
"1265","Scutellaria ovata","Lamiales","Lamiaceae","Scutellaria","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",25,25,50,20,18,23,4,"herb","Short lived",0.42,0.00271652785737584
"1266","Scutellaria parvula","Lamiales","Lamiaceae","Scutellaria","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,10,25,4,8,8,4,"herb","Perennial",0.1,0.00270657529894202
"1268","Sedum formosanum","Saxifragales","Crassulaceae","Sedum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",75,20,50,11,12.4913279287333,1,15,"herb","Perennial",0.125,0.000153072918924999
"1269","Sedum roseum","Saxifragales","Crassulaceae","Sedum","Dioecious","dioecious","none",0,"Open","actinomorphic",700,35,10,1.75,1,0.7,15,"herb","Perennial",0.13,0.000151952376177845
"1270","Sedum sediforme","Saxifragales","Crassulaceae","Sedum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,30,50,12.6,3,2,15,"herb","Perennial",0.425,0.000152736759314463
"1271","Senecio aureus","Asterales","Asteraceae","Senecio","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",100,10,19,19,6,4.5,15,"herb","Perennial",0.5,0.00706554670094517
"1272","Senecio gunnii","Asterales","Asteraceae","Senecio","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,20,3,3,2,0.5,32.5,"herb","Perennial",0.65,0.00830589983540308
"1273","Senecio lautus","Asterales","Asteraceae","Senecio","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,5,18,18,2,4.5,67.5,"herb","Short lived",0.45,0.0083571974922062
"1274","Senecio nikoensis","Asterales","Asteraceae","Senecio","Hermaphrodite","self_incompatible","none",7.11480979960513,"Capitulum","actinomorphic",20,20,31.12,31.12,5.75,4.5,87,"herb","Perennial",0.345,0.00702800082078985
"1275","Senecio pectinatus","Asterales","Asteraceae","Senecio","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,3,25,25,8,4.5,87,"herb","Perennial",0.2,0.00702800082078984
"1276","Senecio pinnatus","Asterales","Asteraceae","Senecio","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,3,45,15,5,5.35,87,"herb","Perennial",0.25,0.00702800082078984
"1278","Senna aphylla","Fabales","Fabaceae","Senna","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",200,25,80,20,10,10,24,"shrub","Perennial",1.5,0.00066628851734358
"1279","Senna marilandica","Fabales","Fabaceae","Senna","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",70,70,45,14,3,3,24,"shrub","Perennial",1.3,0.00066747727901336
"1280","Senna occidentalis","Fabales","Fabaceae","Senna","Hermaphrodite","partially_self_compatible","low",0.2,"Open","zygomorphic",50,7,25,25,16.9026744662069,4,24,"shrub","Short lived",1.25,0.000667589254429984
"1281","Senna pistaciifolia","Fabales","Fabaceae","Senna","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",1600,40,20,20,20,5.5,23.5,"herb","Perennial",1,0.000665226899281378
"1282","Sesuvium portulacastrum","Caryophyllales","Aizoaceae","Sesuvium","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,1,9,9,5,6.5,45,"herb","Perennial",1,0.00105901613260088
"1283","Setaria parviflora","Poales","Poaceae","Setaria","Hermaphrodite","self_compatible","high",61.8869110461979,"Open","zygomorphic",40,40,10,1,1,1,1,"herb","Short lived",0.425,6.14842879818383e-05
"1284","Sicyos angulatus","Cucurbitales","Cucurbitaceae","Sicyos","Monoecious","monoecious","none",0,"Campanulate","actinomorphic",30,10,10,2.1,1.1,1.4,1,"vine","Short lived",4,0.000515361647338524
"1285","Sida acuta","Malvales","Malvaceae","Sida","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",50,1,15,15,4.5,4.75,5,"shrub","Perennial",0.9,0.000330555312492905
"1286","Sida rhombifolia","Malvales","Malvaceae","Sida","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,3,17.5,17.5,2,4.75,7.5,"shrub","Perennial",1.3,0.00033037974488657
"1289","Sidastrum paniculatum","Malvales","Malvaceae","Sidastrum","Hermaphrodite","self_compatible","none",27.8467758631043,"Open","actinomorphic",25,25,3,3,1.1,4.5,5,"herb","Perennial",1.1,0.000301850882948955
"1290","Sideroxylon cinereum","Ericales","Sapotaceae","Sideroxylon","Dioecious","dioecious","none",0,"Open","actinomorphic",15147.4998760153,2,30,5.1,4.5,2,4.5,"tree","Perennial",12.5,0.00120973252081332
"1291","Sideroxylon puberulum","Ericales","Sapotaceae","Sideroxylon","Dioecious","dioecious","none",0,"Open","actinomorphic",12486.5317397595,2,30,7.1,4.5,2,4.5,"tree","Perennial",7.5,0.00121072570211404
"1292","Silene acaulis","Caryophyllales","Caryophyllaceae","Silene","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",120,1,12,12,9,9,13,"herb","Perennial",0.035,0.00103542883450898
"1293","Silene chungtienensis","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",10,4,60,23,19.5,19.5,172,"herb","Perennial",0.375,0.00102308336606633
"1294","Silene dioica","Caryophyllales","Caryophyllaceae","Silene","Dioecious","dioecious","none",0,"Tube","actinomorphic",10,2,50,25,7.37044732962858,9.88,250,"herb","Perennial",0.4,0.00102075861157354
"1295","Silene flos-cuculi","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",12,10,65,32.5,17,3,92,"herb","Perennial",0.45,0.00102750455011207
"1296","Silene gracilicaulis","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",6,6,10,4,13,15,60,"herb","Perennial",0.325,0.00103008319725046
"1297","Silene nivea","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","high",40.5749384985626,"Tube","actinomorphic",3,3,7,7,15.5,15,4,"herb","Perennial",0.45,0.0010202186882197
"1298","Silene stellata","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",20,20,80,19,3,5,25,"herb","Perennial",0.6,0.00102077218483841
"1299","Silene suecica","Caryophyllales","Caryophyllaceae","Silene","Dioecious","self_compatible","low",13,"Tube","actinomorphic",15,15,100,20,20,6.5,92,"herb","Perennial",0.125,0.00100835974820271
"1300","Silene taimyrensis","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","none",35.3618796069051,"Campanulate","actinomorphic",10,2,10,5,5,5,50,"herb","Perennial",0.17,0.00102437015510752
"1301","Silene vulgaris","Caryophyllales","Caryophillaceae","Silene","Dioecious","self_compatible","low",13,"Campanulate","actinomorphic",120,15,25,25,25,25,146,"herb","Perennial",0.5,0.00100937741473357
"1302","Silene yunnanensis","Caryophyllales","Caryophyllaceae","Silene","Hermaphrodite","self_compatible","high",40.6259140146963,"Tube","actinomorphic",15,3,15,3.5,15,15,109,"herb","Perennial",0.5,0.00102032124266282
"1303","Silphium integrifolium","Asterales","Asteraceae","Silphium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,5,8.3,8.3,7.5,8.5,50,"herb","Perennial",0.75,0.00481067610893778
"1304","Silphium laciniatum","Asterales","Asteraceae","Silphium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,5,80,80,25,8.75,50,"herb","Perennial",1.8,0.00478509663696439
"1305","Silphium perfoliatum","Asterales","Asteraceae","Silphium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,5,63,63,8.21,12.5,50,"herb","Perennial",1.25,0.00475546657402132
"1306","Silphium terebinthinaceum","Asterales","Asteraceae","Silphium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",35,3,25,25,5,6,50,"herb","Perennial",1.8,0.00473426581649125
"1308","Sipanea galioides","Gentianales","Rubiaceae","Sipanea","Hermaphrodite","self_compatible","none",29.1294481700149,"Tube","actinomorphic",3,3,29.1,29.1,19,12,61.13,"herb","Perennial",0.2,0.00168172025220384
"1309","Siphanthera cordifolia","Myrtales","Melastomataceae","Siphanthera","Hermaphrodite","self_compatible","none",30.3959345243161,"Open","actinomorphic",25,25,30,2,3,3,112,"herb","Perennial",1.13693048440671,0.0002150604094467
"1310","Sisyrinchium angustifolium","Asparagales","Iridaceae","Sisyrinchium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,3,6,6,1.2,1,60.5,"herb","Perennial",0.23,6.73822666606294e-05
"1311","Sium suave","Apiales","Apiaceae","Sium","Monoecious","self_compatible","none",19.7568119754436,"Open","actinomorphic",200,200,45,2.1,2.5,0.5,2,"herb","Perennial",0.9,0.00394196301751468
"1312","Smilax anceps","Liliales","Smilacaceae","Smilax","Dioecious","dioecious","none",0,"Open","actinomorphic",120,15,15,3.1,4,3,3,"vine","Perennial",2.5,3.28486793875387e-05
"1313","Smilax herbacea","Liliales","Smilacaceae","Smilax","Dioecious","dioecious","none",0,"Open","actinomorphic",360,45,60,12,1.2,2.5,3.5,"herb","Perennial",1.25,3.24639407403798e-05
"1315","Sobralia liliastrum","Asparagales","Orchidaceae","Sobralia","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",1,1,100,100,65,35,15000,"herb","Perennial",1.7,7.88013405184856e-05
"1316","Solanum americanum","Solanales","Solanaceae","Solanum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,4,30,10,3.3,3.25,45,"herb","Short lived",0.5,0.00153265927263721
"1317","Solanum carolinense","Solanales","Solanaceae","Solanum","Dioecious","self_incompatible","low",13,"Open","actinomorphic",10,5,50,24.1,6.1,12.5,45,"herb","Perennial",0.5,0.00153530283830391
"1318","Solanum cheesmaniae","Solanales","Solanaceae","Solanum","Hermaphrodite","self_compatible","none",30.36723705523,"Open","actinomorphic",10,5,50,23,2,5.5,45,"herb","Perennial",1,0.00153232930093263
"1319","Solanum rostratum","Solanales","Solanaceae","Solanum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,9,50,25,7,13.5,63.2,"herb","Short lived",0.5,0.00153468833142089
"1320","Solidago canadensis","Asterales","Asteraceae","Solidago","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",800,800,50,7.5,2.1,4,16,"herb","Perennial",1.5,0.015542714079548
"1321","Solidago nemoralis","Asterales","Asteraceae","Solidago","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",250,250,50,12,3.55,4.25,14.5,"herb","Perennial",0.6,0.0174066881400412
"1322","Solidago rigida","Asterales","Asteraceae","Solidago","Hermaphrodite","self_compatible","medium",52.5,"Capitulum","actinomorphic",200,200,200,8.7,5.5,4.4,22.5,"herb","Perennial",0.9,0.0155727259875826
"1323","Solidago sempervirens","Asterales","Asteraceae","Solidago","Monoecious","self_compatible","low",13,"Capitulum","actinomorphic",100,100,200,12,5,3.8,16,"herb","Perennial",1.2,0.0166152818956451
"1324","Solidago serotina","Asterales","Asteraceae","Solidaga","Hermaphrodite","self_incompatible","none",1.46307791833826,"Capitulum","actinomorphic",200,200,150,10,10,10,16,"herb","Perennial",1.5,0.00473272031830368
"1326","Solidago ulmifolia","Asterales","Asteraceae","Solidago","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",250,50,30,6.35,6.5,3.1,10,"herb","Perennial",0.8,0.0174091530393489
"1327","Sonchus oleraceus","Asterales","Asteraceae","Sonchus","Hermaphrodite","self_compatible","medium",70.91,"Capitulum","actinomorphic",3,3,22.5,22.5,7,12,165,"herb","Short lived",0.95,0.00622237548671224
"1328","Sonchus tenerrimus","Asterales","Asteraceae","Sonchus","Hermaphrodite","self_compatible","none",28.6376565988764,"Capitulum","actinomorphic",10,3,14,14,6.5,9.5,100,"herb","Short lived",0.3,0.00618235580323998
"1330","Spartium junceum","Fabales","Fabaceae","Spartium","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,5,50,25,25,4,16.9,"shrub","Perennial",1.5,0.000737345082885096
"1331","Spenceria ramalana","Rosales","Rosaceae","Spenceria","Hermaphrodite","self_compatible","none",23.8628414684543,"Open","actinomorphic",15,10,30,16,1.5,4.5,2,"herb","Perennial",0.25,0.000539353485325504
"1332","Spermacoce capitata","Gentianales","Rubiaceae","Spermacoce","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",500,40,12,2,1.9,4.85,2,"shrub","Perennial",0.75,0.00185722482944563
"1333","Spermacoce divaricata","Gentianales","Rubiaceae","Spermacoce","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",174.011127793002,25,100,1.5,1.5,0.2,2,"herb","Perennial",0.6,0.00185722482944562
"1334","Spermacoce eryngioides","Gentianales","Rubiaceae","Spermacoce","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",15,20,10,2,1.9,0.35,2,"herb","Perennial",0.2,0.00185722482944563
"1335","Spermacoce multiflora","Gentianales","Rubiaceae","Spermacoce","Hermaphrodite","self_compatible","medium",33.33,"Tube","actinomorphic",5,25,5,2,4,6,2,"herb","Perennial",0.75,0.0018563701138797
"1336","Sphaeralcea miniata","Malvales","Malvaceae","Sphaeralcea","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",50,5,20,20,5,4,159.881183170383,"herb","Perennial",1.25,0.000332936537975021
"1337","Spiraea alba","Rosales","Rosaceae","Spiraea","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",100,100,30,5.5,1,0.9,19,"shrub","Perennial",1.2,0.000543148328570831
"1338","Spiraea myrtilloides","Rosales","Rosaceae","Spiraea","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,15,30,5.5,2,2,19,"shrub","Perennial",2.5,0.00054901096380222
"1339","Spiranthes lacera","Asparagales","Orchidaceae","Spiranthes","Hermaphrodite","partially_self_compatible","low",13,"Tube","zygomorphic",20,20,15,6,6.6,3,278.956931490554,"herb","Perennial",0.45,7.85337487808569e-05
"1340","Stachys kouyangensis","Lamiales","Lamiaceae","Stachys","Hermaphrodite","self_compatible","high",51.8170967576943,"Tube","zygomorphic",6,6,20,11.1,15,11,4,"herb","Perennial",0.25,0.00275129827426592
"1341","Stachys sylvatica","Lamiales","Lamiaceae","Stachys","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,20,35,7,7,4.5,4,"herb","Perennial",0.75,0.00275756474466845
"1342","Stachytarpheta cayennensis","Lamiales","Verbenaceae","Stachytarpheta","Hermaphrodite","self_compatible","high",39.5793701352291,"Tube","actinomorphic",4,4,25,8,11.5,5,2,"herb","Perennial",1.25,0.00234302652474959
"1343","Stachytarpheta indica","Lamiales","Verbenaceae","Stachytarpheta","Hermaphrodite","self_compatible","high",85.07,"Tube","actinomorphic",4,4,16,8,9,5,2,"herb","Perennial",1,0.00234302652474958
"1344","Stachytarpheta jamaicensis","Lamiales","Verbenaceae","Stachytarpheta","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",4,4,16,8,8.1,5.1,2,"herb","Perennial",1,0.00234302652474959
"1345","Stachyurus praecox","Crossosomatales","Stachyuraceae","Stachyurus","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",30000,35,20,7.5,7.5,4.5,12,"shrub","Perennial",2.1,0.000227728701364089
"1346","Stackhousia pulvinaris","Celastrales","Celastraceae","Stackhousia","Hermaphrodite","self_compatible","none",36.4685734895207,"Tube","actinomorphic",70,1,5.5,5.5,4.45,2,2,"herb","Perennial",0.05,0.000385811686214387
"1347","Staelia thymoides","Gentianales","Rubiaceae","Staelia","Hermaphrodite","self_compatible","none",36.625635155331,"Tube","actinomorphic",100,5,10,2,4.25,4.75,2,"herb","Perennial",0.2,0.00185722487474327
"1348","Staphylea bumalda","Crossosomatales","Staphyleaceae","Staphylea","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",750,5,12,2.1,6.1,7,24,"shrub","Perennial",3.5,0.000232276409943071
"1349","Staphylea trifolia","Ericales","Ericaceae","Staphylea","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",400,5,35,6.5,7,5,24,"shrub","Perennial",3.5,0.000231493772703857
"1350","Stauntonia hexaphylla","Ranunculales","Lardizabalaceae","Stauntonia","Monoecious","monoecious","none",0,"Campanulate","actinomorphic",1500,15,75,15,15,5,279.674450385022,"vine","Perennial",3.5,9.06959459733009e-05
"1351","Stegolepis angustata","Poales","Rapateaceae","Stegolepis","Hermaphrodite","partially_self_compatible","low",23,"Tube","actinomorphic",35,35,25,12,19.5,20,15.68,"herb","Perennial",0.6,5.27594591177208e-05
"1352","Steironema quadriflorum","Ericales","Primulaceae","Steironema","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",15,15,14.5,14.5,4,4.75,25,"herb","Perennial",0.56,0.0012329576110654
