"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence","Nectar_ul","Pollen_per_flower"
"Euphorbia cyathophora","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia cyathophora","Monoecious","monoecious","none",0,"Open","actinomorphic",10,2,2,1.6,3,"herb","Short lived",0.6,"yes",1.786415,87279.7854166667
"Euphorbia preslii","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia nutans","Monoecious","monoecious","none",0,"Open","actinomorphic",200,5.7,3.9,1.55,3,"herb","Short lived",0.5,"yes",1.0860275,66789.00655
"Euphorbia pyrifolia","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia pyrifolia","Dioecious","dioecious","none",0,"Open","actinomorphic",75,6.26034761904762,2.25,2,3,"shrub","Perennial",6.5,"yes",1.9325556,161370.962416667
"Euphorbea segatalis","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia segetalis","Monoecious","self_compatible","low",13,"Open","actinomorphic",75,2,3,3,3,"herb","Short lived",0.35,"yes",0.07,48086.294202381
"Euphrasia collina","Lamiales","Orobanchaceae","Euphrasia","Euphrasia collina","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",20,11,10.1,10,24,"herb","Perennial",0.325,"yes",3.24390166666667,43183.2394171429
"Euphrasia regelii","Lamiales","Orobanchaceae","Euphrasia","Euphrasia regelii","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,6,7.5,5,39,"herb","Short lived",0.19,"yes",7.86779666666666,2005
"Euphrasia revoluta","Lamiales","Orobanchaceae","Euphrasia","Euphrasia revoluta","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",3,14.1,12.5,5,31.5,"herb","Perennial",0.05,"yes",6.36525,45003.6648216667
"Euphrasia zelandica","Lamiales","Orobanchaceae","Euphrasia","Euphrasia zelandica","Hermaphrodite","self_compatible","medium",60,"Tube","zygomorphic",5,13.5,9,5,24,"herb","Short lived",0.05,"yes",3.777995,2733
"Euptelea polyandra","Ranunculales","Eupteleaceae","Euptelea","Euptelea polyandra","Hermaphrodite","partially_self_compatible","medium",50.5,"Brush","actinomorphic",750,2.5,2.5,10,4,"tree","Perennial",10,"no",0,1047869.943
"Eurya japonica","Ericales","Pentaphylacaceae","Eurya","Eurya japonica","Dioecious","self_incompatible","none",0,"Campanulate","actinomorphic",20000,3.5,3.5,1.5,9,"shrub","Perennial",3.5,"yes",3.22992461666667,149619.48442
"Euscaphis japonica","Crossosomatales","Staphyleaceae","Euscaphis","Euscaphis japonica","Hermaphrodite","self_compatible","low",8.61416666666666,"Open","actinomorphic",40000,4.5,4,2,6,"tree","Perennial",5,"yes",3.26724265,223208.2836
"Solidago graminifolia","Asterales","Asteraceae","Euthamia","Euthamia graminifolia","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",400,5,4,10,36.5,"herb","Perennial",0.5,"yes",3.34142388888889,91936.674165
"Meriana sclerophylla","Solanales","Convolvulaceae","Evolvulus","Evolvulus pusillus","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",50,10.5,3,1.5,4,"herb","Perennial",0.4,"no",0,64923.9294119047
"Excoecaria benthamiana","Malpighiales","Euphorbiaceae","Exoecaria","Excoecaria benthamiana","Monoecious","monoecious","none",0,"Open","actinomorphic",50000,2.2,2,1,3,"tree","Perennial",6,"yes",2.5358725,135460.4205
"Cacabus miersii","Solanales","Solanaceae","Exodeconus","Exodeconus miersii","Hermaphrodite","self_compatible","low",15.1613,"Campanulate","actinomorphic",100,18.2,50,45,100,"herb","Short lived",0.225,"yes",10.42985,136660.538005
"Polygonum scandens","Caryophyllales","Polygonaceae","Fallopia","Fallopia scandens","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",600,5.1,3.1,1,1,"herb","Perennial",3,"yes",0.9899078,54912.7855
"Farfugium joponicum","Asterales","Asteraceae","Farfugium","Farfugium joponicum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",60,25,20,5.1,30,"herb","Perennial",0.4,"yes",1.0918936,163520.886961111
"Faujasiopsis flexuosa","Asterales","Asteraceae","Faujasiopsis","Faujasiopsis flexuosa","Hermaphrodite","partially_self_compatible","low",10.42575,"Capitulum","actinomorphic",70,3.3,6.37585,6,40,"shrub","Perennial",1.5,"no",0,271868.692265
"Filipendula ulmaria","Rosales","Rosaceae","Filipendula","Filipendula ulmaria","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",600,6.5,0.5,1.25,2,"herb","Perennial",0.85,"no",0,19879.13685
"Flagellaria indica","Poales","Flagellariaceae","Flagellaria","Flagellaria indica","Hermaphrodite","self_compatible","low",11.6247166666667,"Campanulate","actinomorphic",150,2.5,2.1,1,3,"vine","Perennial",7.5,"no",0,200879.223766667
"Fragaria virginiana illinoensis","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Dioecious","self_compatible","low",11.69781,"Open","actinomorphic",5,15.5,1.4,1,100,"herb","Perennial",0.9,"yes",8.52208265,442000
"Frasera carolinensis","Gentianales","Gentianaceae","Frasera","Frasera caroliniensis","Hermaphrodite","self_compatible","low",17.9,"Open","actinomorphic",75,24,6.59371666666667,5,10,"herb","Perennial",1.65,"yes",2.44614083333333,60917.86175
"Fraxinus americanus","Lamiales","Oleaceae","Fraxinus","Fraxinus americana","Dioecious","dioecious","none",0,"Open","actinomorphic",19794.6766666667,3,10,1,4,"tree","Perennial",22.5,"no",0,569694.39505
"Freesia refracta","Asparagales","Iridaceae","Freesia","Freesia refracta","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",30,31.1,26,10,4,"herb","Perennial",0.35,"yes",13.359949,91426.5792833333
"Fumaria_capreolata","Ranunculales","Papaveraceae","Fumaria","Fumaria capreolata","Hermaphrodite","self_compatible","low",16.4107,"Tube","zygomorphic",75,2,12,12,1.5,"vine","Perennial",0.45,"yes",17.7527603,47859.1246433333
"Gaertnera petrinensis","Gentianales","Rubiaceae","Gaertnera","Gaertnera petrinensis","Hermaphrodite","self_incompatible","low",9.88445,"Tube","actinomorphic",500,10,15,7.5,2,"shrub","Perennial",1.25,"yes",1.1,48134.9685
"Gaertnera psychotrioides/edentata","Gentianales","Rubiaceae","Gaertnera","Gaertnera psychotrioides","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,10,12.5,12.5,2,"tree","Perennial",6.3,"yes",1,134279.59055
"Gaertnera rotundifolia","Gentianales","Rubiaceae","Gaertnera","Gaertnera rotundifolia","Hermaphrodite","self_incompatible","low",13,"Tube","actinomorphic",500,2.5,20,15.25,2,"shrub","Perennial",3.5,"yes",1.6,101322.1122
"Galactea striata","Fabales","Fabaceae","Galactia","Galactia striata","Hermaphrodite","self_compatible","low",14.8577,"Papilionaceous","zygomorphic",50,8,5.1,5,12,"vine","Perennial",2.3,"yes",1.66052,64271.6586833333
"Galactites tomentosa","Asterales","Asteraceae","Galactites","Galactites tomentosus","Hermaphrodite","self_compatible","low",16.0321166666667,"Capitulum","actinomorphic",3,60,16.5,10,30,"herb","Short lived",0.275,"yes",0.06,137916.910538333
"Galactophora schomburgkiana","Gentianales","Apocynaceae","Galactophora","Galactophora schomburgkiana","Hermaphrodite","self_compatible","low",11.91645,"Tube","actinomorphic",3,25,58.5,20,863.31525,"vine","Perennial",1.25,"yes",34.344366,141972.209
"Orchis spectabilis","Asparagales","Orchidaceae","Galearis","Galearis spectabilis","Hermaphrodite","partially_self_compatible","none",0,"Tube","zygomorphic",5,20,25,0.1,25000,"herb","Perennial",4.5,"yes",33.6197033333333,504513.856416667
"Galeopsis bifida","Lamiales","Lamiaceae","Galeopsis","Galeopsis bifida","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",15,7,13.5,10,4,"herb","Short lived",0.45,"yes",1.73344,17885.65085
"Galium aperine","Gentianales","Rubiaceae","Galium","Galium aparine","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",35,1.5,1,0.45,2,"herb","Short lived",1,"yes",1.070815,666
"Galium palustre","Gentianales","Rubiaceae","Galium","Galium palustre","Hermaphrodite","self_incompatible","low",13,"Open","actinomorphic",50,4,1,0.8,2,"herb","Perennial",0.3,"yes",0.887128355555555,67533.70185
"Galium perpusillum","Gentianales","Rubiaceae","Galium","Galium perpusillum","Dioecious","dioecious","none",0,"Tube","actinomorphic",20,3.75,0.9,1,2,"herb","Perennial",0.06,"yes",4.06820765,91215.7749128571
"Galium propinquum","Gentianales","Rubiaceae","Galium","Galium propinquum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,1.65,1.65,1,2,"herb","Perennial",0.1,"yes",2.94936,81677.8654761905
"Galium saxatile","Gentianales","Rubiaceae","Galium","Galium saxatile","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",50,2.5,1,2,2,"shrub","Perennial",0.6,"yes",1.41501015,57294.11685
"Galium verum","Gentianales","Rubiaceae","Galium","Galium verum","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",300,3,3,1,2,"herb","Perennial",0.3,"yes",5.0892975,50955.15406
"Galvezia leucantha","Lamiales","Plantaginaceae","Galvezia","Galvezia leucantha","Hermaphrodite","self_compatible","low",14.68285,"Tube","zygomorphic",20,7,9.25,1.5,4,"shrub","Perennial",0.75,"yes",6.38062166666667,102440.995503333
"Gastonia crassa","Apiales","Araliaceae","Gastonia","Gastonia crassa","Hermaphrodite","monoecious","low",7.85275,"Campanulate","actinomorphic",80,6.5,17,1,7,"shrub","Perennial",5,"yes",13.4,96610.84681
"Gaura biennis","Myrtales","Onagraceae","Gaura","Gaura biennis","Hermaphrodite","self_compatible","high",88,"Open","zygomorphic",50,13,7,11,4,"herb","Short lived",1.05,"yes",2.31812,54004.691155
"Gaylussacia baccata","Ericales","Ericaceae","Gaylussacia","Gaylussacia baccata","Hermaphrodite","partially_self_compatible","low",10,"Tube","actinomorphic",2000,4,7,5.05,10,"shrub","Perennial",0.6,"yes",1.26,26516.55396
"Geniostoma borbonicum","Gentianales","Loganiaceae","Geniostoma","Geniostoma borbonicum","Hermaphrodite","partially_self_compatible","low",8.05745,"Campanulate","actinomorphic",500,8,4.75,1.15,65,"tree","Perennial",8.5,"no",0,345712.493315
"Genista anglica","Fabales","Fabaceae","Genista","Genista anglica","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",1000,8,12.5,6.5,17.9,"shrub","Perennial",0.38,"no",0,20383
"Genista hirsuta","Fabales","Fabaceae","Genista","Genista hirsuta","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",3000,1.7,8.5,9.1,6.47,"shrub","Perennial",0.9,"no",0,13653
"Genista pilosa","Fabales","Fabaceae","Genista","Genista pilosa","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,7,10,6.5,13,"shrub","Perennial",0.6,"no",0,38339.7955166667
"Gentiana andrewsii","Gentianales","Gentianaceae","Gentiana","Gentiana andrewsii","Hermaphrodite","self_compatible","low",4,"Tube","actinomorphic",10,18.75,37.5,15,150,"herb","Perennial",0.6,"yes",9.177631,113496.1485
"Gentiana atuntsiensis","Gentianales","Gentianaceae","Gentiana","Gentiana atuntsiensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",10,14.5,29,4.5,150,"herb","Perennial",0.15,"yes",10.5765135,135856.538
"Gentiana chungtienensis","Gentianales","Gentianaceae","Gentiana","Gentiana chungtienensis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",30,19.5,19.5,1.75,150,"herb","Short lived",0.04,"yes",6.1595575,196086.260655
"Gentiana crassicaulis","Gentianales","Gentianaceae","Gentiana","Gentiana crassicaulis","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",35,20.1,21,2.25,150,"herb","Perennial",0.2,"yes",6.51622,146115.065155
"Gentiana puberula","Gentianales","Gentianaceae","Gentiana","Gentiana saponaria","Hermaphrodite","self_compatible","none",0,"Tube","actinomorphic",5,18.1,40,20,150,"herb","Perennial",0.375,"yes",6.963133,124182.989
"Gentiana corymbifera","Gentianales","Gentianaceae","Gentianella","Gentianella corymbifera","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",30,16,10,15,52,"herb","Short lived",0.23,"yes",1.549045,38667
"Gentianella diemensis","Gentianales","Gentianaceae","Gentianella","Gentianella diemensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",5,18,10,15,85,"herb","Short lived",0.26,"yes",0.7,146826.267155
"Gentiana montana","Gentianales","Gentianaceae","Gentianella","Gentianella montana","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",6,15.15,15.25,15,66,"herb","Short lived",3.6,"yes",3.861095,210460.155833333
"Geoffroea spinosa","Fabales","Fabaceae","Geoffroea","Geoffroea spinosa","Hermaphrodite","self_compatible","none",0,"Papilionaceous","zygomorphic",15000,9.1,15,15,2,"tree","Perennial",6,"yes",5.974853,1066
"Geranium carolinianum","Geraniales","Geraniaceae","Geranium","Geranium carolinianum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",5,7.1,1.3,13,5,"herb","Short lived",0.375,"yes",2.20655,67800.3844
"Geranium delavaryi","Geraniales","Geraniaceae","Geranium","Geranium delavayi","Hermaphrodite","self_compatible","low",13.951125,"Open","actinomorphic",2,17.5,4.1,24.1,10,"herb","Perennial",0.54,"yes",3.474385,159903.51825
"Geranium maculatum","Geraniales","Geraniaceae","Geranium","Geranium maculatum","Dioecious","partially_self_compatible","low",13,"Open","actinomorphic",10,25.1,13,5,10,"herb","Perennial",0.5,"yes",15.726975,10620
"Geranium nepalense","Geraniales","Geraniaceae","Geranium","Geranium nepalense","Hermaphrodite","self_compatible","low",16.2509428571429,"Open","actinomorphic",10,12.5,10,0.5,10,"herb","Perennial",0.5,"yes",3.09668,42958.8910238095
"Geranium robertianum","Geraniales","Geraniaceae","Geranium","Geranium robertianum","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",10,17.5,10.5,20,10,"herb","Short lived",0.3,"yes",3.375725,1170
"Geranium sibiricum","Geraniales","Geraniaceae","Geranium","Geranium sibiricum","Hermaphrodite","self_compatible","low",16.4629595238095,"Open","actinomorphic",10,12.5,6.25,5,10,"herb","Perennial",0.35,"yes",2.741795,665
"Geum canadense","Rosales","Rosaceae","Geum","Geum canadense","Hermaphrodite","self_compatible","low",14.6365833333333,"Open","actinomorphic",5,15,2.5,5.5,1,"herb","Perennial",0.6,"yes",2.7525178,97905.50025
"Geum japonicum","Rosales","Rosaceae","Geum","Geum macrophyllum","Hermaphrodite","self_compatible","low",14.8317,"Open","actinomorphic",8,11.1,4,0.5,1,"herb","Perennial",0.7,"yes",2.14489045,96461.554
"Geum rivale","Rosales","Rosaceae","Geum","Geum rivale","Hermaphrodite","partially_self_compatible","low",13.2,"Campanulate","actinomorphic",5,12.5,11,7,1,"herb","Perennial",0.425,"yes",11.6054987833333,82023.23685
"Geum uniflorum","Rosales","Rosaceae","Geum","Geum uniflorum","Hermaphrodite","self_compatible","low",15.8444,"Open","actinomorphic",1,25,18,5,1,"herb","Perennial",0.1,"yes",5.11781515,96963.46475
"Geum vernum","Rosales","Rosaceae","Geum","Geum vernum","Hermaphrodite","self_compatible","low",12.3796583333333,"Open","actinomorphic",5,14,3,2.1,1,"herb","Perennial",0.225,"yes",2.386945,126225.6835
"Gillenia stipulacea","Rosales","Rosaceae","Gillenia","Gillenia stipulacea","Hermaphrodite","self_compatible","low",12.5126,"Tube","actinomorphic",5,28,7.2,2,4,"herb","Perennial",0.5,"yes",5.35425,91808.845
"Glechoma hederacea","Lamiales","Lamiaceae","Glechoma","Glechoma hederacea","Dioecious","self_compatible","none",0,"Tube","zygomorphic",10,8,12.5,7,4,"herb","Perennial",0.11,"yes",0.3,574.4
"Gleditsia triacanthos","Fabales","Fabaceae","Gleditsia","Gleditsia triacanthos","Monoecious","monoecious","none",0,"Open","actinomorphic",20000,5,1.5,0.5,10,"tree","Perennial",17.5,"yes",3.22812416666667,371850.794
"Glionnetia sericea","Gentianales","Rubiaceae","Glionnetia","Glionnetia sericea","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",75,30,9.4,10,100,"shrub","Perennial",5.5,"yes",22.1567,196759.967738333
"Glochidion acuminatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion acuminatum","Monoecious","monoecious","none",0,"Tube","actinomorphic",500,1.5,3,1.25,8,"shrub","Perennial",5.5,"no",0,4336
"Glochidion obovatum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion obovatum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,1.75,1.75,1.25,9.5,"shrub","Perennial",0.75,"no",0,57414.33845
"Glochidion zeylanicum","Malpighiales","Phyllanthaceae","Glochidion","Glochidion zeylanicum","Monoecious","monoecious","none",0,"Open","actinomorphic",500,4,2,3.5,11,"shrub","Perennial",3.5,"no",0,114856.3807
"Gnaphalium polycephalum","Asterales","Asteraceae","Gnaphalium","Gnaphalium polycephalum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,4.1,4.1,0.1,67,"herb","Short lived",0.45,"yes",1.433001,210144.499158968
"Gomphrena celosioides","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena celosioides","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",1000,2,5.5,0.4,1,"herb","Perennial",0.15,"yes",2.4026053,17483.16849
"Gomphrena elegans","Caryophyllales","Amaranthaceae","Gomphrena","Gomphrena elegans","Hermaphrodite","self_compatible","medium",70,"Tube","actinomorphic",100,2,3,2.25,1,"herb","Short lived",1,"yes",0.877183783333333,11092.22941
"Gossypium barbadense","Malvales","Malvaceae","Gossypium","Gossypium barbadense","Hermaphrodite","self_compatible","high",75,"Open","actinomorphic",30,10.3,25,3.2,50,"shrub","Perennial",2,"yes",9.62140633333334,91656.5678366667
"Gossypium darwinii","Malvales","Malvaceae","Gossypium","Gossypium darwinii","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,70,36,25,32.5,"shrub","Perennial",1.1,"yes",10.718383,316394.8965
"Grangeria borbonica","Malpighiales","Chrysobalanaceae","Grangeria","Grangeria borbonica","Hermaphrodite","partially_self_compatible","low",7.12635,"Open","actinomorphic",100,16,5,3.5,2,"tree","Perennial",6,"no",0,365386.602833333
"Gratiola virginiana","Lamiales","Plantaginaceae","Gratiola","Gratiola virginiana","Hermaphrodite","self_compatible","low",12.45305,"Tube","zygomorphic",5,22,22,3,100,"herb","Short lived",0.25,"yes",4.99717,138463.556666667
"Gymnocladus dioica","Fabales","Fabaceae","Gymnocladus","Gymnocladus dioica","Dioecious","dioecious","none",0,"Open","actinomorphic",15000,25,18,5,4,"tree","Perennial",25,"yes",7.62147500000001,489628.9505
"Halenia elliptica","Gentianales","Gentianaceae","Halenia","Halenia elliptica","Hermaphrodite","self_compatible","high",100,"Campanulate","actinomorphic",10,8,17.5,4,14.5,"herb","Short lived",0.4,"yes",1.1,6908
"Halimium commutatum","Malvales","Cistaceae","Halimium","Halimium commutatum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",100,19.1,4,0.5,7,"shrub","Perennial",1.5,"no",0,24849
"Halimium halimifolium","Malvales","Cistaceae","Halimium","Halimium halimifolium","Hermaphrodite","self_incompatible","none",1,"Open","actinomorphic",50,28,3,1,46,"shrub","Perennial",1,"no",0,44051
"Cordemoya integrifolia","Malpighiales","Euphorbiaceae","Hancea","Hancea integrifolia","Monoecious","monoecious","none",0,"Brush","actinomorphic",14927.8333333333,10,5,11,3,"tree","Perennial",7.5,"no",0,903893.914
