"","Species_geonet","Order_all","Family_all","Genus_all","Species_all","Breeding_system","Compatibility_system","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Corolla_diameter_mean","Corolla_length_mean","Style_length","Ovule_number","life_form","lifespan","Plant_height_mean_m","Nectar_presence_absence"
"654","Ruellia ciliosa","Lamiales","Acanthaceae","Ruellia","Ruellia ciliosa","Hermaphrodite","self_compatible","low",13,"Campanulate","actinomorphic",15,30,1,4,12,"herb","Perennial",0.6,"yes"
"655","Ruellia strepens","Lamiales","Acanthaceae","Ruellia","Ruellia strepens","Hermaphrodite","partially_self_compatible","low",13,"Campanulate","actinomorphic",8,38,18.2,4,12,"herb","Perennial",0.68,"yes"
"656","Ruellia tweediana","Lamiales","Acanthaceae","Ruellia","Ruellia tweediana","Hermaphrodite","self_compatible","low",13,"Campanulate","zygomorphic",50,37.5,18.2,4,12,"herb","Perennial",5.11,"yes"
"657","Ruta chalepensis","Sapindales","Rutaceae","Ruta","Ruta chalepensis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",25,10,4,5,11.5,"herb","Perennial",0.65,"yes"
"658","Sebatia angularis","Gentianales","Gentianaceae","Sabatia","Sabatia angularis","Hermaphrodite","self_compatible","medium",50.5,"Open","actinomorphic",60,26,8.5,5,600,"herb","Short lived",0.5,"no"
"659","Saggitaria quyanensis","Alismatales","Alismataceae","Sagittaria","Sagittaria guayanensis","Monoecious","self_compatible","medium",65,"Open","actinomorphic",10,16,9,1,426.5,"herb","Short lived",0.25,"no"
"660","Sagittaria latifolia","Alismatales","Alismataceae","Saggitaria","Sagittaria latifolia","Monoecious","monoecious","none",0,"Open","actinomorphic",10,25,9,1,426.5,"herb","Perennial",0.75,"yes"
"661","Salix amygdaloides","Malpighiales","Salicaceae","Salix","Salix amygdaloides","Dioecious","dioecious","none",0,"Open","actinomorphic",35000,0.9,2.05,0.3,17,"tree","Perennial",12,"yes"
"662","Salix arctica","Malpighiales","Salicaceae","Salix","Salix arctica","Dioecious","dioecious","none",0,"Brush","actinomorphic",70,0.5,1.1,1.4,27,"shrub","Perennial",0.14,"yes"
"663","Salix cinerea","Malpighiales","Salicaceae","Salix","Salix cinerea","Dioecious","dioecious","none",0,"Brush",NA,35000,0.5,2.5,1.15,24,"shrub","Perennial",5.5,"yes"
"664","Salix cordata","Malpighiales","Salicaceae","Salix","Salix cordata","Dioecious","dioecious","none",0,"Open","actinomorphic",3000,0.5,3.5,1.15,17.5,"shrub","Perennial",1.7,"yes"
"665","Salix fragilis","Malpighiales","Salicaceae","Salix","Salix fragilis","Dioecious","dioecious","none",0,"Spike","actinomorphic",45000,1,1,0.3,23,"tree","Perennial",12,"yes"
"666","Salix humilis","Malpighiales","Salicaceae","Salix","Salix humilis","Dioecious","dioecious","none",0,"Open","actinomorphic",45000,1.1,3.225,0.3,9,"shrub","Perennial",1.65,"yes"
"667","Salix lanata","Malpighiales","Salicaceae","Salix","Salix lanata","Dioecious","dioecious","none",0,"Brush","actinomorphic",10000,1,1,1.88,59,"shrub","Perennial",0.75,"yes"
"668","Salix polaris","Malpighiales","Salicaceae","Salix","Salix polaris","Dioecious","dioecious","none",0,"Brush","actinomorphic",200,0.5,2,0.95,14.5,"shrub","Perennial",0.05,"yes"
"669","Salix repens","Malpighiales","Salicaceae","Salix","Salix repens","Dioecious","dioecious","none",0,"Brush",NA,4500,0.5,1,1.15,23,"herb","Perennial",0.3,"yes"
"670","Salix reticulata","Malpighiales","Salicaceae","Salix","Salix reticulata","Dioecious","dioecious","none",0,"Brush","actinomorphic",750,0.75,1.35,0.25,26,"shrub","Perennial",0.09,"yes"
"671","Salvia przewalskii","Lamiales","Lamiaceae","Salvia","Salvia przewalskii","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",18,15,30,30,4,"herb","Perennial",0.3,"yes"
"672","Sambucus canadensis","Dipsacales","Adoxaceae","Sambucus","Sambucus canadensis","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",10000,5,2,1,4,"shrub","Perennial",3.5,"no"
"673","Sanguinaria canadensis","Ranunculales","Papaveraceae","Sanguinaria","Sanguinaria canadensis","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",1,35,12,3,37,"herb","Short lived",0.5,"no"
"674","Sanicula canadensis","Apiales","Apiaceae","Sanicula","Sanicula canadensis","Monoecious","monoecious","none",0,"Open","actinomorphic",20,1.5,1.15,4,2,"herb","Short lived",0.45,"yes"
"675","Sanicula marilandica","Apiales","Apiaceae","Sanicula","Sanicula marilandica","Monoecious","monoecious","none",0,"Open","actinomorphic",200,5,2,4,2,"herb","Perennial",1,"yes"
"676","Sanicula odorata","Apiales","Apiaceae","Sanicula","Sanicula odorata","Monoecious","monoecious","medium",50.5,"Tube","actinomorphic",150,2.4,0.7,1.3,2,"herb","Perennial",0.55,"yes"
"677","Saponaria officinalis","Caryophyllales","Caryophyllaceae","Saponaria","Saponaria officinalis","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",10,33.7,24,13.5,85,"herb","Perennial",0.65,"yes"
"678","Sarcostemma angustissimum","Gentianales","Apocynaceae","Sarcostemma","Sarcostemma angustissimum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",8,0.5,0.5,0.1,60.7,"herb","Perennial",1.5,"yes"
"679","Saussurea wardii","Asterales","Asteraceae","Saussurea","Saussurea wardii","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",15,30,12.5,15,20,"herb","Perennial",0.29,"yes"
"680","Sauvagesia angustifolia","Malpighiales","Ochnaceae","Sauvagesia","Sauvagesia angustifolia","Hermaphrodite","self_compatible","medium",29,"Tube","actinomorphic",10,13,2,2,30,"herb","Perennial",0.225,"yes"
"681","Sauvagesia rubiginosa","Malpighiales","Ochnaceae","Sauvagesia","Sauvagesia rubiginosa","Hermaphrodite","self_compatible","low",7.07,"Open","actinomorphic",15,13,2,2,30,"herb","Perennial",0.325,"yes"
"682","Saxifraga aizoides","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga aizoides","Hermaphrodite","self_compatible","high",100,"Open","actinomorphic",35,11.5,NA,2.75,150,"shrub","Perennial",0.1,"yes"
"683","Saxifraga cernua","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga cernua","Hermaphrodite","self_compatible","low",5.5,"Campanulate","actinomorphic",25,12,6,1.45,267,"herb","Perennial",0.225,"yes"
"684","Saxifraga hirculus","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga hirculus","Hermaphrodite","partially_self_compatible","none",0,"Open","actinomorphic",5,24.1,14.1,1.4,500,"herb","Perennial",0.15,"yes"
"685","Saxifraga oppositifolia","Saxifragales","Saxifragaceae","Saxifraga","Saxifraga oppositifolia","Hermaphrodite","self_compatible","none",0,"Campanulate","actinomorphic",45,24.1,10,6.5,112.6,"herb","Perennial",0.175,"yes"
"686","Scabiosa atropurpurea","Dipsacales","Caprifoliaceae","Scabiosa","Scabiosa atropurpurea","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",150,10,15,15,1,"herb","Short lived",0.4,"yes"
"687","Scaveola plumieri","Asterales","Goodeniaceae","Scaevola","Scaevola plumieri","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,12,22.5,15,2,"shrub","Perennial",0.9,"yes"
"688","Scaevola frutescens","Asterales","Goodeniaceae","Scaevola","Scaevola taccada","Hermaphrodite","partially_self_compatible","low",12,"Tube","zygomorphic",100,21,15,14,4,"shrub","Perennial",1.5,"yes"
"689","Scalesia affinis","Asterales","Asteraceae","Scalesia","Scalesia affinis","Hermaphrodite","partially_self_compatible","low",13,"Capitulum","actinomorphic",20,60,10,5,25,"shrub","Perennial",1.75,"yes"
"690","Scalesia beurii","Asterales","Asteraceae","Scalesia","Scalesia baurii","Hermaphrodite","self_compatible","medium",45.2,"Capitulum","actinomorphic",1,15,4,5,50,"shrub","Perennial",1.75,"yes"
"691","Scalesia helleri","Asterales","Asteraceae","Scalesia","Scalesia helleri","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",600,17,NA,5,65,"shrub","Perennial",1.75,"yes"
"692","Scalesia pedunculata","Asterales","Asteraceae","Scalesia","Scalesia pedunculata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",600,15,NA,5,100,"tree","Perennial",10,"yes"
"693","Schefflera octophylla","Apiales","Araliaceae","Schefflera","Schefflera heptaphylla","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",8000,8.5,1.5,1.5,6.1,"tree","Perennial",8.5,"yes"
"694","Schima wallichii","Ericales","Theaceae","Schima","Schima wallichii","Hermaphrodite","partially_self_compatible","medium",15,"Brush","actinomorphic",1400,32.5,10,5.5,20,"tree","Perennial",17.5,"yes"
"695","Schinus fasciculata","Sapindales","Anacardiaceae","Schinus","Schinus fasciculata","Dioecious","dioecious","none",0,"Open","actinomorphic",5500,2,1,2,1,"tree","Perennial",2,"yes"
"696","Scorzonera humilis","Asterales","Asteraceae","Scorzonera","Scorzonera humilis","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",5,27.5,5.1,3,35,"herb","Perennial",0.3,"yes"
"697","Scutellaria hypericifolia","Lamiales","Lamiaceae","Scutellaria","Scutellaria hypericifolia","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,15,26.5,26.5,4,"herb","Perennial",0.2,"yes"
"698","Scutellaria canescans","Lamiales","Lamiaceae","Scutellaria","Scutellaria incana","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",60,14,25,25,4,"herb","Perennial",0.75,"yes"
"699","Scutellaria lateriflora","Lamiales","Lamiaceae","Scutellaria","Scutellaria lateriflora","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,2.4,6,6,4,"herb","Perennial",0.5,"yes"
"700","Scutellaria versicolor","Lamiales","Lamiaceae","Scutellaria","Scutellaria ovata","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",25,20,18,23,4,"herb","Short lived",0.42,"yes"
"701","Scutellaria parvula","Lamiales","Lamiaceae","Scutellaria","Scutellaria parvula","Hermaphrodite","self_compatible","high",88,"Tube","zygomorphic",10,4,8,8,4,"herb","Perennial",0.1,"yes"
"702","Sedum formosanum","Saxifragales","Crassulaceae","Sedum","Sedum formosanum","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",75,11,NA,1,15,"herb","Perennial",0.125,"yes"
"703","Rhodiola rosea","Saxifragales","Crassulaceae","Sedum","Sedum roseum","Dioecious","dioecious","none",0,"Open","actinomorphic",700,1.75,1,0.7,15,"herb","Perennial",0.13,"yes"
"704","Sedum sediforme","Saxifragales","Crassulaceae","Sedum","Sedum sediforme","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",30,12.6,3,2,15,"herb","Perennial",0.425,"yes"
"705","Senecio aureus","Asterales","Asteraceae","Senecio","Senecio aureus","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",100,19,6,4.5,15,"herb","Perennial",0.5,"yes"
"706","Senecio gunnii","Asterales","Asteraceae","Senecio","Senecio gunnii","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,3,2,0.5,32.5,"herb","Perennial",0.65,"yes"
"707","Senecio lautus","Asterales","Asteraceae","Senecio","Senecio lautus","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",20,18,2,4.5,67.5,"herb","Short lived",0.45,"yes"
"708","Senecio pectinatus","Asterales","Asteraceae","Senecio","Senecio pectinatus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",3,25,8,4.5,87,"herb","Perennial",0.2,"yes"
"709","Senecio pinnatus","Asterales","Asteraceae","Senecio","Senecio pinnatus","Hermaphrodite",NA,"none",0,"Open","actinomorphic",50,15,5,5.35,87,"herb","Perennial",0.25,"yes"
"710","Senna aphylla","Fabales","Fabaceae","Senna","Senna aphylla","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",200,20,10,10,24,"shrub","Perennial",1.5,"no"
"711","Cassia marilandica","Fabales","Fabaceae","Senna","Senna marilandica","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",70,14,3,3,24,"shrub","Perennial",1.3,"no"
"712","Cassia occidentalis","Fabales","Fabaceae","Senna","Senna occidentalis","Hermaphrodite","partially_self_compatible","low",0.2,"Open","zygomorphic",50,25,NA,4,24,"shrub","Short lived",1.25,"no"
"713","Cassia picta","Fabales","Fabaceae","Senna","Senna pistaciifolia","Hermaphrodite","self_compatible","none",0,"Open","zygomorphic",1600,20,20,5.5,23.5,"herb","Perennial",1,"no"
"714","Sesuvium portulacastrum","Caryophyllales","Aizoaceae","Sesuvium","Sesuvium portulacastrum","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",30,9,5,6.5,45,"herb","Perennial",1,"yes"
"715","Sicyos angulatus","Cucurbitales","Cucurbitaceae","Sicyos","Sicyos angulatus","Monoecious","monoecious","none",0,"Campanulate","actinomorphic",30,2.1,1.1,1.4,1,"vine","Short lived",4,"yes"
"716","Sida acuta","Malvales","Malvaceae","Sida","Sida acuta","Hermaphrodite","self_compatible","medium",63,"Open","actinomorphic",50,15,4.5,4.75,5,"shrub","Perennial",0.9,"yes"
"717","Sida rhombifolia","Malvales","Malvaceae","Sida","Sida rhombifolia","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",50,17.5,2,4.75,7.5,"shrub","Perennial",1.3,"yes"
"718","Sida spinosa","Malvales","Malvaceae","Sida","Sida spinosa","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",25,8,5,8,5,"herb","Short lived",0.5,"yes"
"719","Silene acaulis","Caryophyllales","Caryophyllaceae","Silene","Silene acaulis","Dioecious","partially_self_compatible","low",13,"Tube","actinomorphic",120,12,9,9,13,"herb","Perennial",0.035,"yes"
"720","Silene chungtienensis","Caryophyllales","Caryophyllaceae","Silene","Silene chungtienensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",10,23,19.5,19.5,172,"herb","Perennial",0.375,"yes"
"721","Silene dioica","Caryophyllales","Caryophyllaceae","Silene","Silene dioica","Dioecious","dioecious","none",0,"Tube","actinomorphic",10,25,NA,9.88,250,"herb","Perennial",0.4,"yes"
"722","Lychnis flos-cuculi","Caryophyllales","Caryophyllaceae","Silene","Silene flos-cuculi","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",12,32.5,17,3,92,"herb","Perennial",0.45,"yes"
"723","Silene gracilicaulis","Caryophyllales","Caryophyllaceae","Silene","Silene gracilicaulis","Hermaphrodite","self_compatible","low",13,"Tube","actinomorphic",6,4,13,15,60,"herb","Perennial",0.325,"yes"
"724","Silene stellata","Caryophyllales","Caryophyllaceae","Silene","Silene stellata","Hermaphrodite","self_compatible","low",20,"Tube","actinomorphic",20,19,3,5,25,"herb","Perennial",0.6,"yes"
"725","Viscaria alpina","Caryophyllales","Caryophyllaceae","Silene","Silene suecica","Dioecious","self_compatible","low",13,"Tube","actinomorphic",15,20,20,6.5,92,"herb","Perennial",0.125,"yes"
"726","Silene vulgaris","Caryophyllales","Caryophillaceae","Silene","Silene vulgaris","Dioecious","self_compatible","low",13,"Campanulate","actinomorphic",120,25,25,25,146,"herb","Perennial",0.5,"yes"
"727","Silphium integrifolium","Asterales","Asteraceae","Silphium","Silphium integrifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,8.3,7.5,8.5,50,"herb","Perennial",0.75,"yes"
"728","Silphium laciniatum","Asterales","Asteraceae","Silphium","Silphium laciniatum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",5,80,25,8.75,50,"herb","Perennial",1.8,"yes"
"729","Silphium perfoliatum","Asterales","Asteraceae","Silphium","Silphium perfoliatum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",15,63,8.21,12.5,50,"herb","Perennial",1.25,"yes"
"730","Silphium terebinthinaceum","Asterales","Asteraceae","Silphium","Silphium terebinthinaceum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",35,25,5,6,50,"herb","Perennial",1.8,"yes"
"731","Sisyrinchium angustifolium","Asparagales","Iridaceae","Sisyrinchium","Sisyrinchium angustifolium","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,6,1.2,1,60.5,"herb","Perennial",0.23,"no"
"732","Smilax anceps","Liliales","Smilacaceae","Smilax","Smilax anceps","Dioecious","dioecious","none",0,"Open","actinomorphic",120,3.1,4,3,3,"vine","Perennial",2.5,"no"
"733","Smilax herbacea","Liliales","Smilacaceae","Smilax","Smilax herbacea","Dioecious","dioecious","none",0,"Open","actinomorphic",360,12,1.2,2.5,3.5,"herb","Perennial",1.25,"no"
"734","Smilax hispida","Liliales","Smilacaceae","Smilax","Smilax hispida","Dioecious","dioecious","none",0,"Open","actinomorphic",150,6,1,1,2,"vine","Perennial",4.5,"yes"
"735","Sobralia liliastrum","Asparagales","Orchidaceae","Sobralia","Sobralia liliastrum","Hermaphrodite","self_compatible","none",0,"Tube","zygomorphic",1,100,65,35,15000,"herb",NA,1.7,"yes"
"736","Solanum americanum","Solanales","Solanaceae","Solanum","Solanum americanum","Hermaphrodite","self_compatible","high",88,"Open","actinomorphic",10,10,3.3,3.25,45,"herb","Short lived",0.5,"no"
"737","Solanum carolinense","Solanales","Solanaceae","Solanum","Solanum carolinense","Dioecious","self_incompatible","low",13,"Open","actinomorphic",10,24.1,6.1,12.5,45,"herb","Perennial",0.5,"no"
"738","Solanum rostratum","Solanales","Solanaceae","Solanum","Solanum rostratum","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,25,7,13.5,63.2,"herb","Short lived",0.5,"no"
"739","Solidago canadensis","Asterales","Asteraceae","Solidago","Solidago canadensis","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",800,7.5,2.1,4,16,"herb","Perennial",1.5,"yes"
"740","Solidago nemoralis","Asterales","Asteraceae","Solidago","Solidago nemoralis","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",250,12,3.55,4.25,14.5,"herb","Perennial",0.6,"yes"
"741","Solidago rigida","Asterales","Asteraceae","Solidago","Solidago rigida","Hermaphrodite","self_compatible","medium",52.5,"Capitulum","actinomorphic",200,8.7,5.5,4.4,22.5,"herb","Perennial",0.9,"yes"
"742","Solidago sempervirens","Asterales","Asteraceae","Solidago","Solidago sempervirens","Monoecious","self_compatible","low",13,"Capitulum","actinomorphic",100,12,5,3.8,16,"herb","Perennial",1.2,"yes"
"743","Solidago ulmifolia","Asterales","Asteraceae","Solidago","Solidago ulmifolia","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",250,6.35,6.5,3.1,10,"herb","Perennial",0.8,"yes"
"744","Sonchus oleraceus","Asterales","Asteraceae","Sonchus","Sonchus oleraceus","Hermaphrodite","self_compatible","medium",70.91,"Capitulum","actinomorphic",3,22.5,7,12,165,"herb","Short lived",0.95,"yes"
"745","Spartium junceum","Fabales","Fabaceae","Spartium","Spartium junceum","Hermaphrodite","self_incompatible","none",0,"Papilionaceous","zygomorphic",500,25,25,4,16.9,"shrub","Perennial",1.5,"no"
"746","Borreria capitata","Gentianales","Rubiaceae","Spermacoce","Spermacoce capitata","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",500,2,1.9,4.85,2,"shrub","Perennial",0.75,"yes"
"747","Borreria eryngioides","Gentianales","Rubiaceae","Spermacoce","Spermacoce eryngioides","Hermaphrodite","self_compatible","high",88,"Campanulate","actinomorphic",15,2,1.9,0.35,2,"herb","Perennial",0.2,"yes"
"748","Diodia multiflora","Gentianales","Rubiaceae","Spermacoce","Spermacoce multiflora","Hermaphrodite","self_compatible","medium",33.33,"Tube","actinomorphic",5,2,4,6,2,"herb","Perennial",0.75,"yes"
"749","Spiraea alba","Rosales","Rosaceae","Spiraea","Spiraea alba","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",100,5.5,1,0.9,19,"shrub","Perennial",1.2,"yes"
"750","Spiraea myrtilloides","Rosales","Rosaceae","Spiraea","Spiraea myrtilloides","Hermaphrodite","partially_self_compatible","low",13,"Open","actinomorphic",60,5.5,2,2,19,"shrub","Perennial",2.5,"yes"
"751","Stachys sylvatica","Lamiales","Lamiaceae","Stachys","Stachys sylvatica","Hermaphrodite","self_compatible","low",13,"Tube","zygomorphic",20,7,7,4.5,4,"herb","Perennial",0.75,"yes"
"752","Verbena angustifolia","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta indica","Hermaphrodite","self_compatible","high",85.07,"Tube","actinomorphic",4,8,9,5,2,"herb","Perennial",1,"yes"
"753","Stachytapheta jamaicencis","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta jamaicensis","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",4,8,8.1,5.1,2,"herb","Perennial",1,"yes"
"754","Stachyurus praecox","Crossosomatales","Stachyuraceae","Stachyurus","Stachyurus praecox","Dioecious","self_incompatible","none",0,"Tube","actinomorphic",30000,7.5,7.5,4.5,12,"shrub","Perennial",2.1,"yes"
"755","Staphylea bumalda","Crossosomatales","Staphyleaceae","Staphylea","Staphylea bumalda","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",750,2.1,6.1,7,24,"shrub","Perennial",3.5,"yes"
"756","Staphylea trifolia","Ericales","Ericaceae","Staphylea","Staphylea trifolia","Hermaphrodite","partially_self_compatible","none",0,"Campanulate","actinomorphic",400,6.5,7,5,24,"shrub","Perennial",3.5,"yes"
"757","Stegolepsis angustata","Poales","Rapateaceae","Stegolepis","Stegolepis angustata","Hermaphrodite","partially_self_compatible","low",23,"Tube","actinomorphic",35,12,19.5,20,15.68,"herb",NA,0.6,"no"
"758","Stellaria graminea","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria graminea","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",10,9.5,2,3,60,"herb","Perennial",0.3,"yes"
"759","Stellaria longipes","Caryophyllales","Caryophyllaceae","Stellaria","Stellaria longipes","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",40,9.1,2,2.25,60,"herb","Perennial",0.2,"yes"
"760","Stellera chamaejasme","Malvales","Thymelaeaceae","Stellera","Stellera chamaejasme","Hermaphrodite","self_incompatible","none",0,"Tube","actinomorphic",1000,6,18,3,31.12,"herb","Perennial",0.35,"yes"
"761","Stenactis annuus","Asterales","Asteraceae","Stenactis","Stenactis annua","Hermaphrodite","self_compatible","high",88,"Capitulum","actinomorphic",10,31.12,8,2.2,200,"herb","Short lived",0.9,"yes"
"762","Stillingia lineata","Malpighiales","Euphorbiaceae","Stillingia","Stillingia lineata","Monoecious","monoecious","none",0,"Tube","actinomorphic",450,1,1,1,3,"shrub","Perennial",4.1,"no"
"763","Strophostyles pauciflora","Fabales","Fabaceae","Strophostyles","Strophostyles leiosperma","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",1,7,6,6,5.3,"vine","Short lived",0.9,"yes"
"764","Stylidium graminifolium","Asterales","Stylidiaceae","Stylidium","Stylidium graminifolium","Hermaphrodite","partially_self_compatible","low",13,"Tube","actinomorphic",25,10,7.5,5,117.6,"herb","Perennial",0.5,"yes"
"765","Stylosanthes hamata","Fabales","Fabaceae","Stylosanthes","Stylosanthes hamata","Hermaphrodite","self_compatible","high",88,"Papilionaceous","zygomorphic",5,4.5,4.5,4.5,2.5,"herb","Short lived",0.75,"yes"
"766","Suriana maritima","Fabales","Surianaceae","Suriana","Suriana maritima","Hermaphrodite","self_compatible","low",20,"Open","actinomorphic",200,20,3,4,10,"shrub","Perennial",2.5,"yes"
"767","Swertia bimaculata","Gentianales","Gentianaceae","Swertia","Swertia bimaculata","Hermaphrodite","self_compatible","medium",36.4,"Open","actinomorphic",10,22.5,5,5,73.3,"herb","Short lived",1.15,"yes"
"768","Aster anomalus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum anomalus","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,25,7,5,70,"herb","Perennial",1.2,"yes"
"769","Aster sagittifolius","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum cordifolium","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",50,15.5,5,5,28.5,"herb","Perennial",0.7,"yes"
"770","Aster ericoides villosus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum ericoides","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",300,12,8.1,3.8,28.5,"herb","Perennial",0.5,"yes"
"771","Aster paniculatus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lanceolatum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",150,28.1,8,5,28.5,"herb","Perennial",1.3,"yes"
"772","Aster lateriflorus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum lateriflorum","Hermaphrodite","self_incompatible","low",13,"Capitulum","actinomorphic",50,12,4,5,30,"herb","Perennial",0.6,"yes"
"773","Aster novaeangliae","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum nova-angliciae","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,28,21.1,4,70,"herb","Perennial",0.75,"yes"
"774","Aster turbinellus","Asterales","Asteraceae","Symphyotrichum","Symphyotrichum turbinellum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",25,27.1,20.1,5,34.5,"herb","Perennial",0.68,"yes"
"775","Symplocos microcalyx","Ericales","Symplocaceae","Symplocos","Symplocos microcalyx","Hermaphrodite","self_incompatible","none",0,"Brush","actinomorphic",1000,10,NA,3,8,"shrub","Perennial",2,"yes"
"776","Symplocos chinensis","Ericales","Symplocaceae","Symplocos","Symplocos paniculata","Hermaphrodite","self_incompatible","none",0,"Open","actinomorphic",7000,9,NA,3,8,"shrub","Perennial",2,"yes"
"777","Synqonanthus caulescens","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus caulescens","Hermaphrodite","self_compatible","low",13,"Capitulum","actinomorphic",10,2,1,0.5,2,"herb",NA,0.14,"no"
"778","Syzygium jambos","Myrtales","Myrtaceae","Syzygium","Syzygium jambos","Hermaphrodite","self_compatible","medium",72.5,"Brush","actinomorphic",1000,75,75,40,60,"tree","Perennial",9.5,"yes"
"779","Taenidia integerrima","Apiales","Apiaceae","Taenidia","Taenidia integerrima","Hermaphrodite","self_compatible","low",13,"Open","actinomorphic",250,3,3,2,1.1,"herb","Perennial",0.6,"yes"
"780","Talinum triangulare","Caryophyllales","Talinaceae","Talinum","Talinum fruticosum","Hermaphrodite","self_compatible","high",94,"Open","actinomorphic",15,20,7,1.2,50,"herb","Perennial",0.75,"yes"
"781","Tamarindus indica","Fabales","Fabaceae","Tamarindus","Tamarindus indica","Hermaphrodite","partially_self_compatible","low",13,"Papilionaceous","zygomorphic",5000,20,20,5,14,"tree","Perennial",19.1,"yes"
"782","Tambourissa peltata","Laurales","Monimiaceae","Tambourissa","Tambourissa peltata","Dioecious","dioecious",NA,0,"Open","zygomorphic",25,15.5,8,0.4,450,"tree","Perennial",13.5,"no"
"783","Taraxacum vulgare","Asterales","Asteraceae","Taraxacum","Taraxacum campylodes","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",1,29.1,8.5,12,45,"herb","Perennial",0.15,"yes"
"784","Taraxacum mongolicum","Asterales","Asteraceae","Taraxacum","Taraxacum mongolicum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",2,32.5,NA,6,45,"herb","Perennial",0.15,"yes"
"785","Taraxacum phymatocarpum","Asterales","Asteraceae","Taraxacum","Taraxacum phymatocarpum","Hermaphrodite","self_incompatible","none",0,"Capitulum","actinomorphic",20,22.5,15.1,10,45,"herb","Perennial",0.165,"yes"
