"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Nectar_presence_absence","Clusters"
"Syzygium mauritianum","Hermaphrodite","self_compatible","low",-0.225927898529308,"Brush","actinomorphic",-0.0557511127292182,-0.158437941734724,0.863031429470954,0.181355985444424,0.527378601701427,0.970856691168568,-0.108845105413949,"tree","Perennial",0.700174875354473,"yes",2
"Syzygium petrinense","Hermaphrodite","self_compatible","low",-0.305071894263683,"Brush","actinomorphic",0.0519561263880605,0.0752419599758753,0.405744040513015,-0.165622828912002,-0.272489223485723,-0.14605877155858,-0.108845105413949,"shrub","Perennial",0.0898102059594143,"yes",2
"Syzygium venosum","Hermaphrodite","self_compatible","low",-0.309406916517564,"Brush","actinomorphic",0.0527681135546155,-0.0846442885629556,0.193062359134805,0.0284736390531733,-0.0292016664230036,0.66584695451915,-0.117082020076722,"tree","Perennial",0.700174875354473,"yes",2
"Syzygium wrightii","Dioecious","dioecious","none",-0.71336012543232,"Campanulate","actinomorphic",-0.121229136421468,0.0137472489994019,-0.476906711201345,-0.602782500884892,-0.0551118107878842,0.72130327027359,-0.107080052271926,"tree","Perennial",4.25781971916697,"yes",4
"Tabernaemontana persicarifolia","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Campanulate","actinomorphic",-0.154952050931311,-0.146138999539429,-0.0608886725660354,-0.0182313013082796,0.0206420381737068,0.0929416205389718,-0.0806042551415843,"shrub","Perennial",0.0705440767781522,"yes",3
"Taenidia integerrima","Hermaphrodite","self_compatible","low",-0.225927898529308,"Open","actinomorphic",-0.208227761409509,0.444210225834716,1.30967747636172,-0.612645878071425,-0.462855099530402,-0.498735676324084,-0.127025152776784,"herb","Perennial",-0.409810315915027,"yes",2
"Talinum fruticosum","Hermaphrodite","self_compatible","high",2.81114982294331,"Open","actinomorphic",-0.235487330572429,-0.158437941734724,-0.476906711201345,0.225741182783819,-0.229858934534678,-0.587465781531188,-0.0982547865618123,"herb","Perennial",-0.367118577789277,"yes",1
"Tamarindus indica","Hermaphrodite","partially_self_compatible","low",-0.225927898529308,"Papilionaceous","zygomorphic",0.342763530181421,-0.133840057344134,-0.0302606643105785,0.225741182783819,0.527378601701427,-0.165997781797446,-0.119435424266086,"tree","Perennial",4.85550405292747,"yes",5
"Tambourissa peltata","Dioecious","dioecious","none",-0.71336012543232,"Open","zygomorphic",-0.234327348905921,-0.168277095490959,-0.577402071751767,0.00381519608684257,-0.171609893285746,-0.676195886738291,0.137085632374562,"tree","Perennial",3.26167916289947,"no",4
"Taraxacum arctogenum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.237111304905539,-0.168277095490959,-0.421075955339999,0.349033397615472,0.469129560452496,0.388565375746951,-0.101196541798517,"herb","Perennial",-0.509424371541777,"yes",3
"Taraxacum campylodes","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.237111304905539,-0.168277095490959,-0.273682759866046,0.674524844771037,-0.142485372661281,0.61039063876471,-0.101196541798517,"herb","Perennial",-0.537885530292277,"yes",3
"Taraxacum mongolicum","Hermaphrodite","self_incompatible","none",-0.71336012543232,"Capitulum","actinomorphic",-0.236995306738888,-0.165817307051901,-0.197752931894616,0.842202256942086,-0.00412725609209045,-0.0550851502885664,-0.101196541798517,"herb","Perennial",-0.537885530292277,"yes",3
