"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"178","Asterales","Asteraceae","Bidens","Species_all_Bidens aristosa","Hermaphrodite","self_incompatible","none",16.7544035382578,"Capitulum","actinomorphic",10,10,60,60,24.1,6,56.5,"herb","Short lived",0.75
"179","Asterales","Asteraceae","Bidens","Species_all_Bidens bipinnata","Hermaphrodite","self_incompatible","none",18.8175205767246,"Capitulum","actinomorphic",5,5,7.5,7.5,2.1,2,19.5,"herb","Short lived",0.3
"180","Asterales","Asteraceae","Bidens","Species_all_Bidens connata","Hermaphrodite","self_compatible","high",100,"Capitulum","actinomorphic",15,3,14,14,3,6,70,"herb","Short lived",0.8
"181","Asterales","Asteraceae","Bidens","Species_all_Bidens laevis","Hermaphrodite","self_incompatible","none",17.2460283290229,"Capitulum","actinomorphic",3,3,40,40,10,6,80,"herb","Perennial",0.5
"182","Asterales","Asteraceae","Bidens","Species_all_Bidens pilosa","Hermaphrodite","self_compatible","high",67,"Capitulum","actinomorphic",5,5,11,11,8,6,50,"herb","Short lived",0.85
"183","Caryophyllales","Polygonaceae","Bistorta","Species_all_Bistorta macrophylla","Hermaphrodite","self_compatible","none",22.5505962808215,"Tube","actinomorphic",500,100,12.5,1,2.75,6,1,"herb","Perennial",0.15
"184","Caryophyllales","Polygonaceae","Bistorta","Species_all_Bistorta sinomontana","Hermaphrodite","self_compatible","none",22.4180365666142,"Tube","actinomorphic",100,100,10,3,4.5,3.6,1,"herb","Perennial",0.7
"185","Caryophyllales","Polygonaceae","Bistorta","Species_all_Bistorta tenuicaulis","Dioecious","self_compatible","none",20.1212778306218,"Tube","actinomorphic",200,50,15,2,4.5,8,1,"herb","Perennial",0.5
"186","Fabales","Fabaceae","Bituminaria","Species_all_Bituminaria bituminosa","Hermaphrodite","self_compatible","high",31.2760754353649,"Tube","zygomorphic",200,30,10,2.5,11.5,9,1,"herb","Short lived",0.275
"187","Asterales","Asteraceae","Blainvillea","Species_all_Blainvillea dichotoma","Hermaphrodite","self_incompatible","none",18.1369930795017,"Capitulum","actinomorphic",15,3,20,5.1,2.1,0.5,10,"herb","Short lived",0.5
"188","Myrtales","Melastomataceae","Blastus","Species_all_Blastus cochinchinensis","Hermaphrodite","self_compatible","none",0,"Open","actinomorphic",150,6,35,8,3,10,100,"shrub","Perennial",2
"189","Lamiales","Lamiaceae","Blephilia","Species_all_Blephilia ciliata","Hermaphrodite","self_compatible","high",30.0186382380439,"Tube","zygomorphic",80,80,55,14.7099576372507,14.768020885689,12,4,"herb","Perennial",0.45
"190","Lamiales","Lamiaceae","Blephilia","Species_all_Blephilia hirsuta","Hermaphrodite","self_compatible","high",29.9363985902503,"Tube","zygomorphic",75,25,55,7.1,10.1,10,4,"herb","Perennial",0.6
