network number,site ID,habitat type,plant,family (plant),growth form,taxonomic resolution plant,pollinator,taxonomic resolution (pollinator),"individuals caught (1=yes, 0=no)",family (pollinator),order (pollinator),group (pollinator) ,interaction strength,Identifier,Literature used,Comment
cof341029,cof3,coffee plantation,Bidens pilosa,Asteraceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,11,A. Claßen,14,
cof341029,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,Lasioglossum sp.3,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341029,cof3,coffee plantation,Commelina benghalensis,Commelinaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
cof341029,cof3,coffee plantation,Galinsoga quadriradiata,Asteraceae,herbaceous,Species,"Episyrphus trisectus (Loew, 1858)",Species,1,Syrphidae,Diptera,Syrphid,1,A. Ssymank,15-26*,
cof341029,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Tenthredinidae sp.5,morphospecies (family),1,Tenthredinidae,Hymenoptera,Symphyta,1,R. Peters,27,
cof341029,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Nomia sp.1,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341029,cof3,coffee plantation,Indigofera spicata,Fabaceae,herbaceous,Species,Syrphidae Indigofera,observation,0,Syrphidae,Diptera,Syrphid,1,,,
cof341029,cof3,coffee plantation,Oreosyce africana,Cucurbitaceae,herbaceous climber,Species,Patellapis sp.18,morphospecies (genus),1,Halictidae,Hymenoptera,Apoidea:Bee,1,C. Eardley,1,
cof341029,cof3,coffee plantation,Oreosyce africana,Cucurbitaceae,herbaceous climber,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,12,A. Claßen,14,
cof341029,cof3,coffee plantation,Richardia scabra,Rubiaceae,herbaceous,Species,"Apis mellifera (Linnaeus, 1758)",Species,1,Apidae,Hymenoptera,Apoidea:Bee,1,A. Claßen,14,
